Time	Referenz_left_y_baseline X
14.179999	-0.02826861	
14.200000	-0.02802183	
14.219999	-0.02771322	
14.240000	-0.02776359	
14.259999	-0.02696565	
14.280000	-0.02414885	
14.299999	-0.01792012	
14.320000	-0.00910687	
14.340000	0.00164944	
14.360000	0.01199086	
14.380000	0.02177757	
14.400000	0.02830748	
14.420000	0.03377567	
14.440000	0.03639118	
14.460000	0.03877643	
14.480000	0.03927621	
14.500000	0.03854918	
14.520000	0.03607114	
14.540000	0.02963823	
14.559999	0.02040792	
14.580000	0.00603265	
14.599999	-0.01063976	
14.620000	-0.02280664	
14.639999	-0.02857754	
14.660000	-0.02813941	
14.679999	-0.02803463	
14.700000	-0.02693652	
14.719999	-0.02496937	
14.740000	-0.01935008	
14.759999	-0.01105666	
14.780000	-0.00006908	
14.799999	0.00923267	
14.820000	0.01805855	
14.839999	0.02501297	
14.860000	0.03258255	
14.880000	0.03789796	
14.900000	0.04268056	
14.920000	0.04475383	
14.940000	0.04503447	
14.960000	0.04390754	
14.980000	0.04017809	
15.000000	0.03579807	
15.020000	0.02781309	
15.040000	0.01859489	
15.059999	0.00488567	
15.080000	-0.01076828	
15.099999	-0.02266128	
15.120000	-0.02855766	
15.139999	-0.02828595	
15.160000	-0.02795917	
15.179999	-0.02701350	
15.200000	-0.02621403	
15.219999	-0.02059929	
15.240000	-0.01155999	
15.259999	0.00172423	
15.280000	0.01276369	
15.299999	0.02261965	
15.320000	0.02867623	
15.339999	0.03446244	
15.360000	0.03738925	
15.380000	0.04014574	
15.400000	0.04060173	
15.420000	0.03974096	
15.440000	0.03790268	
15.460000	0.03322889	
15.480000	0.02590978	
15.500000	0.01327123	
15.520000	-0.00337473	
15.540000	-0.01785645	
15.559999	-0.02645442	
15.580000	-0.02816400	
15.599999	-0.02792548	
15.620000	-0.02643032	
15.639999	-0.02441971	
15.660000	-0.01906002	
15.679999	-0.01187347	
15.700000	-0.00066775	
15.719999	0.00919746	
15.740000	0.01815356	
15.759999	0.02367616	
15.780000	0.02916877	
15.799999	0.03372952	
15.820000	0.03878181	
15.839999	0.04184708	
15.860000	0.04338653	
15.880000	0.04328732	
15.900000	0.04083672	
15.920000	0.03865598	
15.940000	0.03443095	
15.960000	0.03113221	
15.980000	0.02354796	
16.000000	0.01209176	
16.020000	-0.00627710	
16.039999	-0.02043726	
16.059999	-0.02847023	
16.080000	-0.02830668	
16.100000	-0.02798595	
16.119999	-0.02787545	
16.139999	-0.02744506	
16.160000	-0.02712534	
16.180000	-0.02355590	
16.199999	-0.01748738	
16.219999	-0.00826851	
16.240000	0.00101876	
16.260000	0.01028413	
16.279999	0.01723248	
16.299999	0.02374454	
16.320000	0.02777822	
16.340000	0.03191246	
16.359999	0.03317432	
16.379999	0.03492635	
16.400000	0.03557235	
16.420000	0.03359510	
16.440001	0.02988888	
16.459999	0.02294272	
16.480000	0.01546377	
16.500000	0.00469971	
16.520000	-0.00661601	
16.539999	-0.01805572	
16.559999	-0.02531654	
16.580000	-0.02838989	
16.600000	-0.02819213	
16.619999	-0.02796742	
