Time	Left_Forefoot_y_baseline X
9.740000	0.00569844	
9.760000	0.01242048	
9.780000	0.01475056	
9.800000	0.01218267	
9.820000	0.00545365	
9.840000	-0.00338987	
9.860000	-0.01130521	
9.880000	-0.01491916	
9.900000	-0.01526144	
9.920000	-0.01495123	
9.940000	-0.01479530	
9.960000	-0.01468012	
9.980000	-0.01194867	
10.000000	-0.00874001	
10.020000	-0.00379224	
10.040000	-0.00195812	
10.059999	-0.00363424	
10.080000	-0.00771967	
10.099999	-0.01108840	
10.120000	-0.01140931	
10.139999	-0.01172918	
10.160000	-0.01231176	
10.179999	-0.01141629	
10.200000	-0.00974202	
10.219999	-0.00446348	
10.240000	0.00017017	
10.260000	0.00536890	
10.280000	0.00700697	
10.300000	0.00748608	
10.320000	0.00716065	
10.340000	0.00443867	
10.360000	-0.00007196	
10.380000	-0.00551033	
10.400000	-0.00855240	
10.420000	-0.01075268	
10.440000	-0.01202479	
10.460000	-0.01159588	
10.480000	-0.00744155	
10.500000	0.00192612	
10.520000	0.01249515	
10.540000	0.02258404	
10.559999	0.02743655	
10.580000	0.02845915	
10.599999	0.02604677	
10.620000	0.01930623	
10.639999	0.00782736	
10.660000	-0.00305888	
10.679999	-0.01041922	
10.700000	-0.01390994	
10.719999	-0.01627848	
10.740000	-0.01690713	
10.760000	-0.01568028	
10.780000	-0.01192257	
10.800000	-0.00593081	
10.820000	0.00229599	
10.840000	0.00798760	
10.860000	0.01073343	
10.880000	0.01137032	
10.900000	0.00888532	
10.920000	0.00411983	
10.940000	-0.00421312	
10.960000	-0.00971735	
10.980000	-0.01390561	
11.000000	-0.01471055	
11.020000	-0.01362893	
11.040000	-0.00865895	
11.059999	0.00186831	
11.080000	0.01055199	
11.099999	0.01487008	
11.120000	0.01329680	
11.139999	0.00956602	
11.160000	0.00487992	
11.179999	-0.00238393	
11.200000	-0.00716344	
11.219999	-0.01143953	
11.240000	-0.01286697	
11.259999	-0.01382229	
11.280000	-0.01108840	
11.300000	-0.00429726	
11.320000	0.00385363	
11.340000	0.01038723	
11.360000	0.01238447	
11.380000	0.00930929	
11.400000	0.00451273	
11.420000	-0.00461240	
11.440000	-0.01082674	
11.460000	-0.01718196	
11.480000	-0.01866740	
11.500000	-0.01981959	
11.520000	-0.01948965	
11.540000	-0.01542130	
11.559999	-0.00760509	
11.580000	0.00281478	
11.599999	0.01044543	
11.620000	0.01460615	
11.639999	0.01620699	
11.660000	0.01546560	
11.679999	0.01263605	
11.700000	0.00592515	
11.719999	-0.00337732	
11.740000	-0.01123548	
11.759999	-0.01525569	
11.780000	-0.01473731	
11.800000	-0.01418310	
11.820000	-0.01127085	
11.840000	-0.00813973	
11.860000	-0.00468297	
11.880000	-0.00374040	
11.900000	-0.00690012	
11.920000	-0.01038548	
11.940000	-0.01370504	
11.960000	-0.01375011	
11.980000	-0.00916356	
12.000000	-0.00069465	
12.020000	0.01371007	
12.040000	0.02719155	
12.059999	0.03827897	
12.080000	0.04341269	
12.099999	0.04162507	
12.120000	0.03758304	
12.139999	0.02922274	
12.160000	0.01946546	
12.179999	0.00436729	
12.200000	-0.00625727	
12.219999	-0.01485169	
12.240000	-0.01734817	
12.259999	-0.01989901	
12.280000	-0.01995021	
12.300000	-0.01925409	
12.320000	-0.01855943	
12.340000	-0.01426417	
12.360000	-0.00896835	
12.380000	-0.00125027	
12.400000	0.00307707	
12.420000	0.00826037	
12.440000	0.01120780	
12.460000	0.01495297	
12.480000	0.01648471	
12.500000	0.01662377	
12.520000	0.01462652	
12.540000	0.00872178	
12.559999	-0.00025935	
12.580000	-0.00876758	
12.599999	-0.01386857	
12.620000	-0.01292068	
12.639999	-0.01122889	
12.660000	-0.00808337	
12.679999	-0.00292414	
12.700000	0.00580665	
12.719999	0.01323652	
12.740000	0.01414207	
12.759999	0.00915213	
12.780000	-0.00015897	
12.799999	-0.00738889	
12.820000	-0.01104292	
12.840000	-0.01035997	
12.860000	-0.00536695	
12.880000	0.00059475	
12.900000	0.01010169	
12.920000	0.01593381	
12.940000	0.01642217	
12.960000	0.01145856	
12.980000	0.00102408	
13.000000	-0.00668515	
13.020000	-0.01396134	
13.040000	-0.01576710	
13.059999	-0.01633772	
13.080000	-0.01549348	
13.099999	-0.01308030	
13.120000	-0.00847155	
13.139999	-0.00039266	
13.160000	0.00723964	
13.179999	0.01426344	
13.200000	0.01781689	
13.219999	0.02147669	
13.240000	0.02270581	
13.259999	0.02176057	
13.280000	0.01795821	
13.299999	0.00978161	
13.320000	-0.00008512	
13.340000	-0.00824054	
13.360000	-0.01223505	
13.380000	-0.01218092	
13.400000	-0.01224160	
13.420000	-0.01022112	
13.440000	-0.00577180	
13.460000	0.00238444	
13.480000	0.01014757	
13.500000	0.01401864	
13.520000	0.01274693	
13.540000	0.00679488	
13.559999	-0.00182934	
13.580000	-0.00954103	
13.599999	-0.01401156	
13.620000	-0.01431561	
13.639999	-0.01391447	
13.660000	-0.00973359	
13.679999	-0.00291838	
13.700000	0.00514098	
13.719999	0.00892359	
13.740000	0.00770167	
13.759999	0.00327127	
13.780000	-0.00557123	
13.799999	-0.01224327	
