Time	Hip_right_4.81 X
7.280000	92.26247406	
7.300000	94.46951294	
7.320000	96.23760986	
7.340000	97.84214783	
7.360000	99.64044952	
7.380000	101.51622772	
7.400000	103.19942474	
7.420000	104.30418396	
7.440000	104.82679749	
7.460000	105.07718658	
7.480000	104.92437744	
7.500000	104.52527618	
7.520000	103.96623993	
7.540000	103.62413025	
7.560000	103.91175842	
7.580000	104.59961700	
7.600000	105.31933594	
7.620000	105.97410583	
7.640000	106.86611938	
7.660000	107.73838043	
7.680000	107.71317291	
7.700000	106.42600250	
7.720000	104.53423309	
7.740000	102.73557281	
7.760000	101.18484497	
7.780000	99.42582703	
7.800000	97.34735107	
7.820000	95.04220581	
7.840000	92.86476898	
7.860000	90.89970398	
7.880000	89.05255127	
7.900000	87.16691589	
7.920000	85.28668976	
7.940000	83.53543091	
7.960000	81.96461487	
7.980000	80.34493256	
8.000000	78.71482086	
8.020000	77.06285858	
8.040000	75.59507751	
8.059999	74.31122589	
8.080000	73.28443909	
8.099999	72.38775635	
8.120000	71.60504913	
8.139999	70.97592926	
8.160000	70.61738586	
8.179999	70.61843109	
8.200000	71.04334259	
8.220000	72.15597534	
8.240000	73.81298065	
8.260000	75.94084930	
8.280000	78.15781403	
8.300000	80.41284943	
8.320000	82.71672058	
8.340000	85.29734039	
8.360000	88.08896637	
8.380000	90.98269653	
8.400000	93.51635742	
8.420000	95.67502594	
8.440000	97.44023895	
8.460000	99.02362823	
8.480000	100.59886932	
8.500000	102.10282898	
8.520000	103.39089966	
8.540000	104.21738434	
8.559999	104.53738403	
8.580000	104.48246765	
8.599999	104.19779205	
8.620000	103.85894012	
8.639999	103.61522675	
8.660000	103.63207245	
8.679999	104.06774902	
8.700000	104.73440552	
8.720000	105.44499969	
8.740000	106.37577820	
8.760000	107.42329407	
8.780000	107.86841583	
8.800000	107.03317261	
8.820000	105.19139099	
8.840000	103.28009796	
8.860000	101.51891327	
8.880000	99.84844971	
8.900000	97.83821869	
8.920000	95.65046692	
