Time	Step_Length_2_4.81 X
16.400000	-0.65726167	
16.420000	-0.73197192	
16.440001	-0.78418493	
16.459999	-0.81247103	
16.480000	-0.81909180	
16.500000	-0.81589413	
16.520000	-0.80853689	
16.539999	-0.79735214	
16.559999	-0.77801746	
16.580000	-0.74930477	
16.600000	-0.71462721	
16.619999	-0.67219818	
16.639999	-0.62446535	
16.660000	-0.57070029	
16.680000	-0.51290846	
16.699999	-0.44975036	
16.719999	-0.38357908	
16.740000	-0.31380087	
16.760000	-0.24071711	
16.779999	-0.16203177	
16.799999	-0.07925022	
16.820000	0.01051188	
16.840000	0.10434204	
16.859999	0.20402914	
16.879999	0.30655921	
16.900000	0.41205186	
16.920000	0.51615548	
16.940001	0.61273396	
16.959999	0.69579548	
16.980000	0.76038873	
17.000000	0.80225194	
17.020000	0.82352597	
17.039999	0.83146769	
17.059999	0.83163679	
17.080000	0.82467383	
17.100000	0.80730438	
17.119999	0.78201860	
17.139999	0.74950063	
17.160000	0.70976388	
17.180000	0.66310245	
17.199999	0.61099178	
17.219999	0.55424678	
17.240000	0.49369162	
17.260000	0.42991167	
17.279999	0.36335915	
17.299999	0.29377586	
17.320000	0.22061580	
17.340000	0.14484835	
17.359999	0.06271398	
17.379999	-0.02491605	
17.400000	-0.11811191	
17.420000	-0.21447229	
17.440001	-0.31299400	
17.459999	-0.41176683	
17.480000	-0.50624657	
17.500000	-0.59214568	
17.520000	-0.66479266	
17.539999	-0.72081548	
17.559999	-0.75765187	
17.580000	-0.77417833	
17.600000	-0.77643436	
17.619999	-0.77202964	
17.639999	-0.76244140	
17.660000	-0.74660963	
17.680000	-0.72134310	
17.699999	-0.69037908	
17.719999	-0.65189183	
17.740000	-0.60747325	
17.760000	-0.55840933	
17.779999	-0.50483680	
17.799999	-0.44765425	
17.820000	-0.38551831	
17.840000	-0.32067430	
17.859999	-0.25264502	
17.879999	-0.18033922	
17.900000	-0.10391462	
17.920000	-0.02016878	
17.940001	0.06825340	
17.959999	0.16197968	
17.980000	0.25871527	
18.000000	0.35912633	
18.020000	0.46136981	
18.039999	0.56038433	
18.059999	0.65233231	
18.080000	0.73037058	
18.100000	0.78981668	
18.119999	0.82566386	
18.139999	0.84176290	
18.160000	0.84545106	
18.180000	0.83573735	
18.199999	0.81662834	
18.219999	0.78818434	
18.240000	0.76009840	
18.260000	0.73210609	
18.279999	0.69661385	
18.299999	0.65391374	
18.320000	0.60013551	
18.340000	0.54173225	
18.359999	0.47820336	
18.379999	0.41179466	
18.400000	0.34413141	
18.420000	0.27407980	
18.440001	0.19817579	
18.459999	0.11889613	
18.480000	0.03331375	
18.500000	-0.05402684	
18.520000	-0.14927518	
18.539999	-0.24816793	
18.559999	-0.35131627	
18.580000	-0.45243460	
18.600000	-0.55070537	
18.619999	-0.63847274	
18.639999	-0.71282798	
18.660000	-0.76691103	
18.680000	-0.79885191	
18.699999	-0.81093901	
18.719999	-0.81094539	
18.740000	-0.80209988	
18.760000	-0.78564519	
18.779999	-0.76140219	
18.799999	-0.73418915	
18.820000	-0.70192641	
18.840000	-0.66325206	
18.859999	-0.61696470	
18.879999	-0.56524271	
18.900000	-0.50844687	
18.920000	-0.44688594	
18.939999	-0.38220674	
18.959999	-0.31472468	
18.980000	-0.24452293	
19.000000	-0.17003977	
19.020000	-0.09099996	
19.039999	-0.00595510	
19.059999	0.08371830	
19.080000	0.17804837	
19.100000	0.27552146	
19.119999	0.37646425	
19.139999	0.47901583	
19.160000	0.57899410	
19.180000	0.67211634	
19.199999	0.75246054	
19.219999	0.81386417	
19.240000	0.85094637	
19.260000	0.86568522	
19.279999	0.86229366	
19.299999	0.84753382	
19.320000	0.82586426	
19.340000	0.80161446	
19.359999	0.77695060	
19.379999	0.75227839	
19.400000	0.71950823	
19.420000	0.67753869	
19.439999	0.62331098	
19.459999	0.56314099	
19.480000	0.49813682	
19.500000	0.42882979	
19.520000	0.35815042	
19.539999	0.28554273	
19.559999	0.20849466	
19.580000	0.12872815	
19.600000	0.04113853	
19.619999	-0.04922438	
19.639999	-0.14791691	
19.660000	-0.25039923	
19.680000	-0.35638142	
19.699999	-0.46039033	
19.719999	-0.56002086	
19.740000	-0.64973456	
19.760000	-0.72584891	
19.779999	-0.78152192	
19.799999	-0.81554216	
19.820000	-0.82844555	
19.840000	-0.82872838	
19.859999	-0.81968296	
19.879999	-0.80479091	
19.900000	-0.78151703	
19.920000	-0.75477016	
19.939999	-0.72118241	
19.959999	-0.68057984	
19.980000	-0.63147807	
20.000000	-0.57856965	
20.020000	-0.52187824	
20.039999	-0.46103108	
20.059999	-0.39679211	
