Time	Knöchel li X	Knöchel li Y	Knöchel li Weg	Knöchel li v(X)	Knöchel li v(Y)	Knöchel li v(Bahn)	Knöchel li a(X)	Knöchel li a(Y)	Knöchel li a(Bahn)
2.280000	-0.39525938	-0.53391135	3.80123520	1.60886180	0.10959154	1.61259007	0.06060052	0.82757157	0.12130733	
2.300000	-0.36307228	-0.53161126	3.83350444	1.60653746	0.12764801	1.61160064	-0.02253204	0.93815124	0.05606113	
2.320000	-0.33100617	-0.52889210	3.86568570	1.60471320	0.14856701	1.61157584	-0.06937680	1.01294494	0.02657671	
2.340000	-0.29893425	-0.52572602	3.89791346	1.60461402	0.17095500	1.61369503	-0.11144773	1.05263042	0.00065317	
2.360000	-0.26692155	-0.52204782	3.93013668	1.60348213	0.19260985	1.61500883	-0.19523394	1.05976415	-0.06815739	
2.380000	-0.23477779	-0.51793045	3.96254301	1.59983563	0.21325168	1.61398590	-0.38069570	1.06369388	-0.23582767	
2.400000	-0.20266251	-0.51341748	3.99497390	1.59184539	0.23355599	1.60888791	-0.67971623	1.11232162	-0.50574422	
2.420000	-0.17080462	-0.50859255	4.02719498	1.57717299	0.25459218	1.59758937	-1.08714354	1.24294329	-0.86158329	
2.440000	-0.13931604	-0.50338316	4.05911160	1.55229843	0.27910981	1.57719135	-1.64928365	1.46530282	-1.33642602	
2.460000	-0.10839751	-0.49764764	4.09055758	1.51601553	0.30952817	1.54729140	-2.44398522	1.78750420	-1.98425472	
2.480000	-0.07819965	-0.49129680	4.12141609	1.46455693	0.34795326	1.50532341	-3.54457331	2.21249580	-2.83364439	
2.500000	-0.04917363	-0.48403451	4.15133667	1.38952136	0.39520708	1.44463086	-5.01862574	2.72596884	-3.86552143	
2.520000	-0.02161832	-0.47580791	4.18009377	1.28055775	0.45377719	1.35858083	-6.89825058	3.29572964	-4.93660069	
2.540000	0.00361269	-0.46627703	4.20706511	1.12778080	0.52525479	1.24409890	-9.09483624	3.84351063	-5.64741182	
2.560000	0.02544971	-0.45533907	4.23148823	0.92389894	0.61019099	1.10721374	-11.39695072	4.20370245	-5.43219709	
2.580000	0.04261926	-0.44242719	4.25297117	0.66708750	0.70526052	0.97077191	-13.53308296	4.13390827	-3.98278022	
2.600000	0.05389076	-0.42742622	4.27173471	0.36484277	0.79997575	0.87924480	-15.21652508	3.39402485	-1.53910756	
2.620000	0.05838010	-0.41007796	4.28965425	0.03144934	0.87543064	0.87599534	-16.20832062	1.81593299	1.32021952	
2.640000	0.05555430	-0.39100906	4.30893135	-0.31491166	0.90845686	0.96149009	-16.39697456	-0.60810846	3.98193765	
2.660000	0.04546022	-0.37127525	4.33109713	-0.65432572	0.87871891	1.09557700	-15.82439709	-3.66169715	5.95283461	
2.680000	0.02847416	-0.35280511	4.35619020	-0.97038543	0.77288699	1.24056530	-14.64844513	-6.93534994	7.10009670	
2.700000	0.00526760	-0.33740947	4.38403940	-1.25235593	0.59073734	1.38468981	-13.12784576	-9.95748615	7.76992464	
2.720000	-0.02311399	-0.32681900	4.41433239	-1.49665070	0.34534892	1.53597820	-11.56951714	-12.30339813	8.44159794	
2.740000	-0.05593014	-0.32216421	4.44747686	-1.70524800	0.05962474	1.70629013	-10.22617340	-13.66038036	9.30264568	
2.760000	-0.09230349	-0.32402924	4.48389816	-1.88804102	-0.24201488	1.90348887	-9.25293255	-13.88944435	10.21189499	
2.780000	-0.13194120	-0.33231294	4.52439213	-2.05722499	-0.53500229	2.12565327	-8.69741154	-13.01640606	10.89382648	
2.800000	-0.17451966	-0.34650609	4.56927395	-2.22247744	-0.79671061	2.36096454	-8.46112442	-11.14412975	11.06777096	
2.820000	-0.22047019	-0.36584762	4.61912918	-2.39025211	-1.00881612	2.59441996	-8.28452015	-8.41034126	10.50200367	
2.840000	-0.26986906	-0.38911521	4.67373371	-2.56094384	-1.15643656	2.80994296	-7.82948017	-5.02630234	9.07814407	
2.860000	-0.32291067	-0.41478574	4.73266077	-2.72609687	-1.22645879	2.98928165	-6.71378708	-1.28449452	6.74471855	
2.880000	-0.37943396	-0.44118395	4.79504442	-2.86653090	-1.21141195	3.11199594	-4.51293993	2.41451502	3.42064357	
2.900000	-0.43897596	-0.46636808	4.85969353	-2.95689344	-1.11420858	3.15985441	-0.86486602	5.55749798	-0.98896188	
2.920000	-0.50037116	-0.48849764	4.92495537	-2.96285892	-0.95015895	3.11148429	4.29668760	7.66276741	-6.43446398	
2.940000	-0.56156021	-0.50607765	4.98861980	-2.84425092	-0.75051951	2.94160557	10.61227131	8.46037769	-12.59866238	
2.960000	-0.61976087	-0.51851678	5.04813480	-2.56754494	-0.55436444	2.62671018	17.33843994	7.96636009	-18.88286591	
2.980000	-0.67104709	-0.52633637	5.10001373	-2.12936974	-0.39299262	2.16533113	23.39731598	6.53118515	-24.66361237	
3.000000	-0.71109611	-0.53139764	5.14038134	-1.55963731	-0.28185087	1.58490014	27.57335091	4.78050661	-25.64064026	
3.020000	-0.73655385	-0.53541821	5.16615438	-0.91522121	-0.21927001	0.94112122	29.00804901	3.30557394	-19.12718391	
3.040000	-0.74701387	-0.53933728	5.17732430	-0.27328992	-0.18584746	0.33049455	27.59549904	2.39400625	-9.89358330	
3.060000	-0.74384791	-0.54315650	5.18228531	0.28860059	-0.15522136	0.32769495	23.89056778	2.03989220	-1.19413841	
3.080000	-0.73008144	-0.54648960	5.19644976	0.72470474	-0.11378572	0.73358309	18.86334419	2.04005575	7.16503954	
3.100000	-0.70922786	-0.54856640	5.21740627	1.03126347	-0.06476390	1.03329504	13.67008591	2.06890178	11.47852802	
3.120000	-0.68468279	-0.54901564	5.24195528	1.22885036	-0.01716489	1.22897029	9.27560139	1.87903595	9.50969124	
3.140000	-0.65812653	-0.54827809	5.26852179	1.34874904	0.02141867	1.34891915	6.09022713	1.48056352	6.07048988	
3.160000	-0.63005185	-0.54721266	5.29661655	1.42444742	0.04522252	1.42516506	4.02829075	1.03454173	4.03623104	
3.180000	-0.60068464	-0.54615480	5.32600260	1.48172462	0.05539628	1.48275983	2.81024957	0.66921699	2.82678580	
3.200000	-0.57038909	-0.54507542	5.35631752	1.52856696	0.06050713	1.52976406	2.10593700	0.45763680	2.12237263	
3.220000	-0.53933090	-0.54388213	5.38739872	1.56499529	0.06688582	1.56642389	1.60585082	0.42197189	1.62409174	
3.240000	-0.50752521	-0.54250932	5.41923380	1.59191358	0.07603811	1.59372854	1.14945829	0.49760166	1.17410374	
3.260000	-0.47528869	-0.54086012	5.45151234	1.61000955	0.08758155	1.61238992	0.72985709	0.59923518	0.76364344	
3.280000	-0.44276679	-0.53904831	5.48408461	1.61954618	0.10103057	1.62269437	0.36524022	0.69252914	0.40999633	
3.300000	-0.41021958	-0.53689653	5.51670265	1.62206411	0.11547451	1.62616920	0.07079937	0.76629800	0.12751266	
3.320000	-0.37777832	-0.53448236	5.54923344	1.61931217	0.13161644	1.62465215	-0.14042948	0.81464845	-0.07194775	
3.340000	-0.34540075	-0.53166378	5.58173323	1.61296189	0.14920701	1.61984837	-0.28188169	0.84302127	-0.20219477	
3.360000	-0.31317565	-0.52855790	5.61410761	1.60577452	0.16687556	1.61442232	-0.37787393	0.85129291	-0.28814712	
