Time	Step_Length_1_4.84 X
13.440000	-0.17520931
13.460000	-0.27133605
13.480000	-0.36795285
13.500000	-0.46258050
13.520000	-0.55160153
13.540000	-0.63070905
13.559999	-0.69506830
13.580000	-0.74196923
13.599999	-0.77072871
13.620000	-0.78294677
13.639999	-0.78111953
13.660000	-0.76858580
13.679999	-0.74752373
13.700000	-0.71887416
13.719999	-0.68284893
13.740000	-0.63990045
13.759999	-0.59070534
13.780000	-0.53592581
13.799999	-0.47650212
13.820000	-0.41299689
13.840000	-0.34594211
13.860000	-0.27551085
13.880000	-0.20196049
13.900000	-0.12404084
13.920000	-0.04178084
13.940000	0.04557982
13.960000	0.13719249
13.980000	0.23340243
14.000000	0.33161843
14.020000	0.42963988
14.040000	0.52297831
14.059999	0.60797071
14.080000	0.67919749
14.099999	0.73370183
14.120000	0.77044725
14.139999	0.79057765
14.160000	0.79608887
14.179999	0.78958952
14.200000	0.77336657
14.219999	0.74849695
14.240000	0.71552950
14.259999	0.67458636
14.280000	0.62650162
14.299999	0.57166362
14.320000	0.51110053
14.340000	0.44533810
14.360000	0.37534702
14.380000	0.30136579
14.400000	0.22340512
14.420000	0.14094391
14.440000	0.05374739
14.460000	-0.03812385
14.480000	-0.13455111
14.500000	-0.23484564
14.520000	-0.33772072
14.540000	-0.44061831
14.559999	-0.53990465
14.580000	-0.63037765
14.599999	-0.70617354
14.620000	-0.76310486
14.639999	-0.79999930
14.660000	-0.81844372
14.679999	-0.82121205
14.700000	-0.81187379
14.719999	-0.79315645
14.740000	-0.76609111
14.759999	-0.73071748
14.780000	-0.68749946
14.799999	-0.63712442
14.820000	-0.58020407
14.839999	-0.51743364
14.860000	-0.44981837
14.880000	-0.37784058
14.900000	-0.30185166
14.920000	-0.22240698
14.940000	-0.13863057
14.960000	-0.04992437
14.980000	0.04439774
15.000000	0.14336520
15.020000	0.24646826
15.040000	0.35107917
15.059999	0.45385689
15.080000	0.55010694
15.099999	0.63551134
15.120000	0.70554549
15.139999	0.75751454
15.160000	0.79214770
15.179999	0.81141353
15.200000	0.81815535
15.219999	0.81447256
15.240000	0.80250198
15.259999	0.78204960
15.280000	0.75286645
15.299999	0.71486604
15.320000	0.66924858
15.339999	0.61651295
15.360000	0.55764985
15.380000	0.49370223
15.400000	0.42575216
15.420000	0.35442653
15.440000	0.27988338
15.460000	0.20173129
15.480000	0.11951327
15.500000	0.03291430
15.520000	-0.05785853
15.540000	-0.15265024
15.559999	-0.25039387
15.580000	-0.34934321
15.599999	-0.44685417
15.620000	-0.53963375
15.639999	-0.62304729
15.660000	-0.69224083
15.679999	-0.74379808
15.700000	-0.77768219
15.719999	-0.79526305
15.740000	-0.79940122
15.759999	-0.79259849
15.780000	-0.77749234
15.799999	-0.75444746
15.820000	-0.72347796
15.839999	-0.68461865
15.860000	-0.63880205
15.880000	-0.58671564
15.900000	-0.52900505
15.920000	-0.46676642
15.940000	-0.40060297
15.960000	-0.33107868
15.980000	-0.25818065
16.000000	-0.18180217
16.020000	-0.10161349
16.039999	-0.01732390
16.059999	0.07092486
16.080000	0.16250159
16.100000	0.25612938
16.119999	0.34988427
16.139999	0.44090658
16.160000	0.52574348
16.180000	0.60066777
16.199999	0.66228408
16.219999	0.70846301
16.240000	0.73944986
16.260000	0.75680196
16.279999	0.76287752
16.299999	0.75952375
16.320000	0.74869817
16.340000	0.73065400
16.359999	0.70552003
16.379999	0.67283213
16.400000	0.63323319
16.420000	0.58686793
16.440001	0.53442669
16.459999	0.47657302
16.480000	0.41431582
16.500000	0.34842518
16.520000	0.27935088
16.539999	0.20721200
16.559999	0.13160056
16.580000	0.05215587
16.600000	-0.03156552
16.619999	-0.11942746
16.639999	-0.21115902
16.660000	-0.30573156
16.680000	-0.40077901
16.699999	-0.49281171
16.719999	-0.57725620
16.740000	-0.64848149
16.760000	-0.70225102
16.779999	-0.73649544
16.799999	-0.75231552
16.820000	-0.75179696
16.840000	-0.73874831
16.859999	-0.71617687
16.879999	-0.68627995
16.900000	-0.64931929
16.920000	-0.60573524
16.940001	-0.55596125
16.959999	-0.50051117
16.980000	-0.44010127
17.000000	-0.37526193
17.020000	-0.30670264
17.039999	-0.23453438
17.059999	-0.15863058
17.080000	-0.07854939
17.100000	0.00591950
17.119999	0.09475299
17.139999	0.18774311
17.160000	0.28376397
17.180000	0.38099048
17.199999	0.47624972
17.219999	0.56579167
