Time	Referenz_right_y_baseline X
8.880000	-0.02660140	
8.900000	-0.02642286	
8.920000	-0.02622813	
8.940000	-0.02603947	
8.960000	-0.02595979	
8.980000	-0.02374218	
9.000000	-0.02051307	
9.020000	-0.01461473	
9.040000	-0.00870310	
9.059999	-0.00015610	
9.080000	0.00689355	
9.099999	0.01467882	
9.120000	0.01916844	
9.139999	0.02370656	
9.160000	0.02540804	
9.179999	0.02852212	
9.200000	0.03030495	
9.220000	0.03214002	
9.240000	0.03219694	
9.260000	0.03107728	
9.280000	0.02988046	
9.300000	0.02816737	
9.320000	0.02759162	
9.340000	0.02400875	
9.360000	0.01689087	
9.380000	0.00277907	
9.400000	-0.01122811	
9.420000	-0.02188253	
9.440000	-0.02552722	
9.460000	-0.02636592	
9.480000	-0.02650556	
9.500000	-0.02662230	
9.520000	-0.02666238	
9.540000	-0.02652274	
9.559999	-0.02638310	
9.580000	-0.02588972	
9.599999	-0.02542144	
9.620000	-0.02197552	
9.639999	-0.01716350	
9.660000	-0.00974107	
9.679999	-0.00370848	
9.700000	0.00331406	
9.719999	0.00771725	
9.740000	0.01239941	
9.760000	0.01439179	
9.780000	0.01831272	
9.800000	0.02073886	
9.820000	0.02475177	
9.840000	0.02673775	
9.860000	0.02939163	
9.880000	0.03045841	
9.900000	0.03208241	
9.920000	0.03266691	
9.940000	0.03237382	
9.960000	0.03110002	
9.980000	0.02642091	
10.000000	0.01727560	
10.020000	0.00012048	
10.040000	-0.01465651	
10.059999	-0.02446516	
10.080000	-0.02586766	
10.099999	-0.02643599	
10.120000	-0.02664705	
10.139999	-0.02664688	
10.160000	-0.02645384	
10.179999	-0.02635615	
10.200000	-0.02650909	
10.219999	-0.02648653	
10.240000	-0.02637349	
10.260000	-0.02562189	
10.280000	-0.02491795	
10.300000	-0.02196895	
10.320000	-0.01741499	
10.340000	-0.01013844	
10.360000	-0.00351258	
10.380000	0.00363141	
10.400000	0.00872540	
10.420000	0.01503290	
10.440000	0.01861914	
10.460000	0.02205224	
10.480000	0.02270025	
10.500000	0.02431330	
10.520000	0.02527851	
10.540000	0.02600552	
10.559999	0.02576700	
10.580000	0.02371396	
10.599999	0.02186072	
10.620000	0.01813805	
10.639999	0.01425585	
10.660000	0.00504132	
10.679999	-0.00748169	
10.700000	-0.01913416	
10.719999	-0.02541588	
10.740000	-0.02642100	
10.760000	-0.02632229	
10.780000	-0.02632229	
10.800000	-0.02642100	
10.820000	-0.02651970	
10.840000	-0.02651970	
10.860000	-0.02637199	
10.880000	-0.02622408	
10.900000	-0.02577433	
10.920000	-0.02547231	
10.940000	-0.02337144	
10.960000	-0.02157243	
10.980000	-0.01715676	
11.000000	-0.01342483	
11.020000	-0.00705501	
11.040000	-0.00324559	
11.059999	0.00222202	
11.080000	0.00595430	
11.099999	0.01190047	
11.120000	0.01520842	
11.139999	0.01945664	
11.160000	0.02142158	
11.179999	0.02402508	
11.200000	0.02478580	
11.219999	0.02592568	
11.240000	0.02629222	
11.259999	0.02635470	
11.280000	0.02605066	
11.300000	0.02365704	
11.320000	0.02001151	
11.340000	0.01114447	
11.360000	-0.00144844	
11.380000	-0.01512630	
11.400000	-0.02358285	
11.420000	-0.02596468	
11.440000	-0.02570595	
11.460000	-0.02570595	
11.480000	-0.02596484	
11.500000	-0.02596468	
11.520000	-0.02570595	
11.540000	-0.02560015	
11.559999	-0.02575344	
11.580000	-0.02575344	
11.599999	-0.02560015	
11.620000	-0.02522722	
11.639999	-0.02500722	
11.660000	-0.02217564	
11.679999	-0.01754858	
11.700000	-0.00978521	
11.719999	-0.00279365	
11.740000	0.00530274	
11.759999	0.01224814	
11.780000	0.02027597	
11.800000	0.02578165	
11.820000	0.03097740	
11.840000	0.03325109	
11.860000	0.03664175	
11.880000	0.03835705	
11.900000	0.03909501	
11.920000	0.03811768	
11.940000	0.03480989	
11.960000	0.03183815	
11.980000	0.02591455	
12.000000	0.01955131	
12.020000	0.00820255	
12.040000	-0.00589779	
12.059999	-0.01833186	
12.080000	-0.02515529	
12.099999	-0.02619764	
12.120000	-0.02613616	
12.139999	-0.02605817	
12.160000	-0.02605817	
12.179999	-0.02591380	
12.200000	-0.02576962	
12.219999	-0.02539802	
12.240000	-0.02517769	
12.259999	-0.02282415	
12.280000	-0.02065103	
12.300000	-0.01741533	
12.320000	-0.01561026	
12.340000	-0.01045865	
12.360000	-0.00379086	
12.380000	0.00501032	
12.400000	0.01300648	
12.420000	0.02092314	
12.440000	0.02739654	
12.460000	0.03440562	
12.480000	0.03916794	
12.500000	0.04398738	
12.520000	0.04568262	
12.540000	0.04693975	
12.559999	0.04674670	
12.580000	0.04435055	
12.599999	0.04211020	
12.620000	0.03828056	
12.639999	0.03485082	
12.660000	0.02806158	
12.679999	0.01937124	
12.700000	0.00748631	
12.719999	-0.00646681	
12.740000	-0.01840512	
12.759999	-0.02534597	
12.780000	-0.02666238	
12.799999	-0.02652071	
12.820000	-0.02639791	
12.840000	-0.02645469	
12.860000	-0.02659635	
12.880000	-0.02674088	
12.900000	-0.02649865	
12.920000	-0.02615367	
12.940000	-0.02341911	
12.960000	-0.02073474	
