Time	Knee_Angle_right_4.81 X
18.340000	129.28109741	
18.359999	127.11080933	
18.379999	125.93819427	
18.400000	125.82237244	
18.420000	126.94847107	
18.440001	129.20910645	
18.459999	132.03114319	
18.480000	135.59965515	
18.500000	139.57463074	
18.520000	144.68028259	
18.539999	150.51394653	
18.559999	157.52548218	
18.580000	165.31723022	
18.600000	173.39128113	
18.619999	179.02708435	
18.639999	173.48683167	
18.660000	170.79838562	
18.680000	171.79457092	
18.699999	175.46353149	
18.719999	179.70352173	
18.740000	175.44587708	
18.760000	170.65928650	
18.779999	165.69145203	
18.799999	162.90107727	
18.820000	162.40635681	
18.840000	163.35777283	
18.859999	163.91030884	
18.879999	164.05548096	
18.900000	164.47132874	
18.920000	165.92646790	
18.939999	167.75111389	
18.959999	169.40155029	
18.980000	170.69180298	
19.000000	171.78166199	
19.020000	173.10026550	
19.039999	174.74623108	
19.059999	176.35952759	
19.080000	177.69104004	
19.100000	178.41708374	
19.119999	178.86242676	
19.139999	179.18128967	
19.160000	179.44694519	
19.180000	179.74780273	
19.199999	179.48870850	
19.219999	178.79846191	
19.240000	177.32308960	
19.260000	175.51426697	
19.279999	173.41581726	
19.299999	171.11283875	
19.320000	168.47404480	
19.340000	164.99829102	
19.359999	160.27987671	
19.379999	153.95289612	
19.400000	146.74592590	
19.420000	139.73934937	
19.439999	133.66342163	
19.459999	128.90960693	
19.480000	125.34947205	
19.500000	123.15985107	
19.520000	122.26988983	
19.539999	122.93182373	
19.559999	124.93119049	
19.580000	128.04243469	
19.600000	131.72616577	
19.619999	136.14476013	
19.639999	141.62451172	
19.660000	148.12870789	
19.680000	155.70056152	
19.699999	163.93843079	
19.719999	172.56721497	
19.740000	179.42214966	
19.760000	173.56282043	
19.779999	170.77745056	
19.799999	171.83003235	
19.820000	175.75801086	
19.840000	179.87673950	
19.859999	175.51643372	
19.879999	170.61019897	
19.900000	165.30990601	
19.920000	161.31355286	
19.939999	160.17338562	
19.959999	160.68136597	
19.980000	161.51992798	
20.000000	161.76261902	
20.020000	162.19020081	
20.039999	163.21977234	
20.059999	165.10002136	
