Time	Knee_Angle_left_4.84 X
12.020000	173.59397888
12.040000	171.50790405
12.059999	168.57319641
12.080000	164.49884033
12.099999	159.21658325
12.120000	152.97958374
12.139999	146.28147888
12.160000	139.76609802
12.179999	133.96495056
12.200000	129.22654724
12.219999	125.68527985
12.240000	123.42510986
12.259999	122.45983124
12.280000	122.79611969
12.300000	124.36362457
12.320000	127.11522675
12.340000	130.91744995
12.360000	135.73092651
12.380000	141.38661194
12.400000	147.82717896
12.420000	154.79980469
12.440000	162.10237122
12.460000	169.12864685
12.480000	175.04441833
12.500000	178.94578552
12.520000	179.36045837
12.540000	179.74121094
12.559999	178.01176453
12.580000	174.44267273
12.599999	170.55192566
12.620000	167.20321655
12.639999	164.67759705
12.660000	163.03497314
12.679999	162.38192749
12.700000	162.60176086
12.719999	163.35499573
12.740000	164.36021423
12.759999	165.63525391
12.780000	167.13903809
12.799999	168.79867554
12.820000	170.43695068
12.840000	172.00985718
12.860000	173.57690430
12.880000	175.14154053
12.900000	176.58345032
12.920000	177.72370911
12.940000	178.50180054
12.960000	178.85658264
12.980000	178.84852600
13.000000	178.47319031
13.020000	177.81103516
13.040000	176.83810425
13.059999	175.57937622
13.080000	173.90901184
13.099999	171.73440552
13.120000	168.83869934
13.139999	165.04270935
13.160000	160.16908264
13.179999	154.30613708
13.200000	147.85298157
13.219999	141.36654663
13.240000	135.40634155
13.259999	130.46430969
13.280000	126.89469147
13.299999	124.78488922
13.320000	124.05677795
13.340000	124.61225891
13.360000	126.30208588
13.380000	128.96243286
13.400000	132.37603760
13.420000	136.46818542
13.440000	141.23143005
13.460000	146.69607544
13.480000	152.78105164
13.500000	159.34074402
13.520000	166.05357361
13.540000	172.30154419
13.559999	177.17219543
13.580000	179.97337341
13.599999	179.31413269
13.620000	179.27482605
13.639999	176.23344421
13.660000	172.43757629
13.679999	168.99374390
13.700000	166.40876770
13.719999	164.79376221
13.740000	164.09577942
13.759999	164.31506348
13.780000	165.14276123
13.799999	166.25791931
13.820000	167.51727295
13.840000	168.91044617
13.860000	170.39228821
13.880000	171.84631348
13.900000	173.22616577
13.920000	174.60359192
13.940000	175.95018005
13.960000	177.18656921
13.980000	178.17929077
14.000000	178.89137268
14.020000	179.27058411
14.040000	179.31015015
14.059999	178.98838806
14.080000	178.34677124
14.099999	177.38784790
14.120000	176.11273193
14.139999	174.46224976
14.160000	172.31726074
14.179999	169.40531921
