Time	Step_Length_2 X
12.540000	0.07994086	
12.559999	0.10608608	
12.580000	0.12656420	
12.599999	0.14047229	
12.620000	0.14818203	
12.639999	0.15172946	
12.660000	0.15271080	
12.679999	0.15277362	
12.700000	0.15238684	
12.719999	0.15206677	
12.740000	0.15100062	
12.759999	0.14860356	
12.780000	0.14373010	
12.799999	0.13598979	
12.820000	0.12494349	
12.840000	0.11097032	
12.860000	0.09443265	
12.880000	0.07635486	
12.900000	0.05745798	
12.920000	0.03859019	
12.940000	0.02006125	
12.960000	0.00134188	
12.980000	-0.01835310	
13.000000	-0.03916711	
13.020000	-0.06173599	
13.040000	-0.08590961	
13.059999	-0.11099637	
13.080000	-0.13471222	
13.099999	-0.15595621	
13.120000	-0.17293257	
13.139999	-0.18508363	
13.160000	-0.19196159	
13.179999	-0.19530278	
13.200000	-0.19602638	
13.219999	-0.19525599	
13.240000	-0.19362426	
13.259999	-0.19128573	
13.280000	-0.18756545	
13.299999	-0.18210274	
13.320000	-0.17483598	
13.340000	-0.16569412	
13.360000	-0.15442944	
13.380000	-0.14076418	
13.400000	-0.12456518	
13.420000	-0.10541916	
13.440000	-0.08315134	
13.460000	-0.05742997	
13.480000	-0.02852201	
13.500000	0.00330162	
13.520000	0.03686279	
13.540000	0.07088780	
13.559999	0.10384762	
13.580000	0.13426960	
13.599999	0.16015226	
13.620000	0.17999965	
13.639999	0.19363254	
13.660000	0.20158762	
13.679999	0.20508808	
13.700000	0.20543027	
13.719999	0.20404196	
13.740000	0.20141459	
13.759999	0.19721800	
13.780000	0.19108498	
13.799999	0.18306643	
13.820000	0.17348325	
13.840000	0.16240549	
13.860000	0.14972126	
13.880000	0.13499659	
13.900000	0.11777395	
13.920000	0.09742475	
13.940000	0.07365453	
13.960000	0.04677904	
13.980000	0.01788360	
14.000000	-0.01180768	
14.020000	-0.04130566	
14.040000	-0.06963795	
14.059999	-0.09600562	
14.080000	-0.11924130	
14.099999	-0.13828641	
14.120000	-0.15211606	
14.139999	-0.16067427	
14.160000	-0.16462874	
14.179999	-0.16543859	
14.200000	-0.16462988	
14.219999	-0.16328996	
14.240000	-0.16151047	
14.259999	-0.15853292	
14.280000	-0.15415066	
14.299999	-0.14811581	
14.320000	-0.14027447	
14.340000	-0.13031644	
14.360000	-0.11803770	
14.380000	-0.10288709	
14.400000	-0.08403111	
14.420000	-0.06146258	
14.440000	-0.03525645	
14.460000	-0.00538486	
14.480000	0.02826452	
14.500000	0.06485707	
14.520000	0.10337126	
14.540000	0.14250070	
14.559999	0.18002105	
14.580000	0.21282136	
14.599999	0.23830855	
14.620000	0.25598145	
14.639999	0.26618093	
14.660000	0.27035916	
14.679999	0.26999676	
14.700000	0.26678073	
14.719999	0.26115113	
14.740000	0.25291264	
14.759999	0.24174362	
14.780000	0.22767925	
14.799999	0.21066731	
14.820000	0.19052690	
14.839999	0.16722983	
14.860000	0.14084047	
14.880000	0.11178297	
14.900000	0.08085537	
14.920000	0.04868537	
14.940000	0.01561570	
14.960000	-0.01856613	
14.980000	-0.05381405	
15.000000	-0.09012860	
15.020000	-0.12687469	
15.040000	-0.16289258	
15.059999	-0.19676793	
15.080000	-0.22681636	
15.099999	-0.25142288	
15.120000	-0.26927596	
15.139999	-0.28075904	
15.160000	-0.28679264	
15.179999	-0.28881145	
15.200000	-0.28819680	
15.219999	-0.28629231	
15.240000	-0.28332126	
15.259999	-0.27852565	
15.280000	-0.27151638	
15.299999	-0.26231700	
15.320000	-0.25097376	
15.339999	-0.23698050	
15.360000	-0.22029823	
15.380000	-0.20065409	
15.400000	-0.17771441	
15.420000	-0.15078872	
15.440000	-0.12023777	
15.460000	-0.08627772	
15.480000	-0.04949784	
15.500000	-0.01014411	
15.520000	0.03041357	
15.540000	0.07095349	
15.559999	0.10958356	
15.580000	0.14385808	
15.599999	0.17110813	
15.620000	0.19032443	
15.639999	0.20184278	
15.660000	0.20700079	
15.679999	0.20732409	
15.700000	0.20455939	
15.719999	0.19946671	
15.740000	0.19205582	
15.759999	0.18198025	
15.780000	0.16924101	
15.799999	0.15381813	
15.820000	0.13561994	
15.839999	0.11468548	
15.860000	0.09080184	
15.880000	0.06431139	
15.900000	0.03539336	
15.920000	0.00482672	
15.940000	-0.02719730	
15.960000	-0.06000185	
15.980000	-0.09326744	
16.000000	-0.12581867	
16.020000	-0.15689337	
16.039999	-0.18473864	
16.059999	-0.20760280	
16.080000	-0.22394359	
16.100000	-0.23421723	
16.119999	-0.23955429	
16.139999	-0.24121982	
16.160000	-0.24066508	
16.180000	-0.23906898	
16.199999	-0.23663032	
16.219999	-0.23255169	
16.240000	-0.22644931	
16.260000	-0.21831661	
16.279999	-0.20822132	
16.299999	-0.19583976	
16.320000	-0.18126333	
16.340000	-0.16416633	
16.359999	-0.14439684	
16.379999	-0.12118518	
16.400000	-0.09450734	
16.420000	-0.06423432	
16.440001	-0.03109056	
16.459999	0.00440037	
16.480000	0.04069799	
16.500000	0.07618493	
16.520000	0.10872537	
16.539999	0.13589060	
16.559999	0.15605271	
16.580000	0.16898006	
16.600000	0.17592871	
16.619999	0.17840588	
16.639999	0.17830962	
16.660000	0.17681503	
16.680000	0.17444122	
16.699999	0.17072004	
16.719999	0.16529179	
16.740000	0.15789855	
16.760000	0.14824069	
16.779999	0.13589299	
16.799999	0.12057912	
16.820000	0.10225314	
16.840000	0.08123744	
16.859999	0.05773306	
16.879999	0.03222626	
16.900000	0.00545180	
16.920000	-0.02179521	
16.940001	-0.04954207	
16.959999	-0.07729596	
16.980000	-0.10490561	
17.000000	-0.13154125	
17.020000	-0.15677243	
17.039999	-0.17893219	
17.059999	-0.19682235	
17.080000	-0.20926178	
17.100000	-0.21700335	
17.119999	-0.22086626	
17.139999	-0.22212666	
17.160000	-0.22187895	
17.180000	-0.22082800	
17.199999	-0.21921170	
17.219999	-0.21629018	
17.240000	-0.21183574	
17.260000	-0.20538735	
17.279999	-0.19708186	
17.299999	-0.18649077	
17.320000	-0.17423934	
17.340000	-0.15989012	
17.359999	-0.14348781	
17.379999	-0.12446964	
17.400000	-0.10280991	
17.420000	-0.07796568	
17.440001	-0.05016190	
17.459999	-0.01965183	
17.480000	0.01270479	
17.500000	0.04610920	
17.520000	0.07899308	
17.539999	0.10962510	
17.559999	0.13594222	
17.580000	0.15634501	
17.600000	0.16999543	
17.619999	0.17787868	
17.639999	0.18123800	
17.660000	0.18181056	
17.680000	0.18070036	
17.699999	0.17870110	
17.719999	0.17555207	
17.740000	0.17069030	
17.760000	0.16356105	
17.779999	0.15383613	
17.799999	0.14111662	
17.820000	0.12490761	
17.840000	0.10517645	
17.859999	0.08230239	
17.879999	0.05720985	
17.900000	0.03026015	
17.920000	0.00179398	
17.940001	-0.02830654	
17.959999	-0.05991405	
17.980000	-0.09294027	
18.000000	-0.12623340	
18.020000	-0.15852958	
18.039999	-0.18770748	
18.059999	-0.21187454	
18.080000	-0.22954416	
18.100000	-0.24095970	
18.119999	-0.24706280	
18.139999	-0.24905795	
18.160000	-0.24829465	
18.180000	-0.24585301	
18.199999	-0.24176210	
18.219999	-0.23525172	
18.240000	-0.22617692	
18.260000	-0.21458244	
18.279999	-0.20053250	
