Time	Right_paced_y_velocity X
11.040000	0.16704956	
11.059999	0.12289613	
11.080000	0.05960403	
11.099999	-0.04925869	
11.120000	-0.25750330	
11.139999	-0.55625921	
11.160000	-0.83478451	
11.179999	-0.97106010	
11.200000	-0.93440115	
11.219999	-0.75048018	
11.240000	-0.46910504	
11.259999	-0.19366100	
11.280000	-0.02910264	
11.300000	0.00863845	
11.320000	-0.00042034	
11.340000	0.00081702	
11.360000	0.00550871	
11.380000	0.00908039	
11.400000	0.01155554	
11.420000	0.01485918	
11.440000	0.05050448	
11.460000	0.14935142	
11.480000	0.31138045	
11.500000	0.48492748	
11.520000	0.62885773	
11.540000	0.69978380	
11.559999	0.67676216	
11.580000	0.56866920	
11.599999	0.43995196	
11.620000	0.33778146	
11.639999	0.26132691	
11.660000	0.20378463	
11.679999	0.14429204	
11.700000	0.07738114	
11.719999	-0.02287327	
11.740000	-0.17000669	
11.759999	-0.42029598	
11.780000	-0.71008086	
11.800000	-0.91725439	
11.820000	-0.95783484	
11.840000	-0.84571785	
11.860000	-0.61575627	
11.880000	-0.32339096	
11.900000	-0.09359043	
11.920000	0.00196776	
11.940000	0.00097348	
11.960000	-0.00433456	
11.980000	-0.00221444	
12.000000	-0.00103507	
12.020000	-0.00142654	
12.040000	0.00088314	
12.059999	0.00516710	
12.080000	0.00817707	
12.099999	0.00731541	
12.120000	0.01281034	
12.139999	0.04226179	
12.160000	0.12078386	
12.179999	0.24380414	
12.200000	0.39573461	
12.219999	0.53971052	
12.240000	0.63789898	
12.259999	0.65005684	
12.280000	0.58532840	
12.300000	0.48163474	
12.320000	0.36989498	
12.340000	0.26827988	
12.360000	0.17391238	
12.380000	0.08186726	
12.400000	-0.04962364	
12.420000	-0.24180874	
12.440000	-0.51054484	
12.460000	-0.76095581	
12.480000	-0.88804263	
12.500000	-0.84667003	
12.520000	-0.67816514	
12.540000	-0.43633398	
12.559999	-0.18893957	
12.580000	-0.03434282	
12.599999	0.00576985	
12.620000	-0.00799025	
12.639999	-0.00611593	
12.660000	-0.00032137	
12.679999	0.00115583	
12.700000	-0.00049205	
12.719999	0.00170004	
12.740000	0.00442037	
12.759999	0.02381546	
12.780000	0.08125886	
12.799999	0.19411269	
12.820000	0.34511957	
12.840000	0.50955540	
12.860000	0.64262509	
12.880000	0.69460851	
12.900000	0.63982224	
12.920000	0.50919443	
12.940000	0.35876513	
12.960000	0.23154801	
12.980000	0.15116943	
13.000000	0.10970336	
13.020000	0.08650387	
13.040000	0.03936240	
13.059999	-0.05583975	
13.080000	-0.22924876	
13.099999	-0.48446530	
13.120000	-0.73449099	
13.139999	-0.86980331	
13.160000	-0.84705877	
13.179999	-0.69108808	
13.200000	-0.44866523	
13.219999	-0.20168824	
13.240000	-0.04221708	
13.259999	0.00278900	
13.280000	-0.00688744	
13.299999	-0.00819905	
13.320000	-0.00178646	
13.340000	0.00728406	
13.360000	0.02733480	
13.380000	0.08920974	
13.400000	0.21808195	
13.420000	0.38965765	
13.440000	0.56016552	
13.460000	0.67529225	
13.480000	0.68818808	
13.500000	0.58500487	
13.520000	0.37913099	
13.540000	0.11113859	
13.559999	-0.22614329	
13.580000	-0.54853064	
13.599999	-0.75073475	
13.620000	-0.77966833	
13.639999	-0.67513669	
13.660000	-0.47344962	
13.679999	-0.23047796	
13.700000	-0.05445180	
13.719999	0.00724525	
13.740000	-0.00477700	
13.759999	-0.00063200	
13.780000	0.01387211	
13.799999	0.06018123	
13.820000	0.16481249	
13.840000	0.32928935	
13.860000	0.50581145	
13.880000	0.63982147	
13.900000	0.68563408	
13.920000	0.61372453	
13.940000	0.43684599	
13.960000	0.19442189	
13.980000	-0.08651728	
14.000000	-0.39083093	
14.020000	-0.63550287	
14.040000	-0.74358535	
14.059999	-0.70498699	
14.080000	-0.56064516	
14.099999	-0.35113516	
14.120000	-0.14243735	
14.139999	-0.01636563	
14.160000	0.01872187	
14.179999	0.01947047	
14.200000	0.05265789	
14.219999	0.13651036	
14.240000	0.27101278	
14.259999	0.42704961	
14.280000	0.57285166	
14.299999	0.66183525	
14.320000	0.65577966	
