Time	Knöchel li X	Knöchel li Y	Knöchel li Weg	Knöchel li v(X)	Knöchel li v(Y)	Knöchel li v(Bahn)	Knöchel li a(X)	Knöchel li a(Y)	Knöchel li a(Bahn)
3.720000	-0.28971705	-0.49979055	2.31167793	0.47601268	0.05888477	0.47964099	0.01297816	0.35862932	0.06590980	
3.740000	-0.28009161	-0.49864131	2.32137179	0.47578073	0.06705048	0.48048213	-0.12510489	0.58438313	-0.02163114	
3.760000	-0.27054107	-0.49727067	2.33102012	0.47257772	0.08068641	0.47941631	-0.35139880	0.90033180	-0.15036185	
3.780000	-0.26106656	-0.49563935	2.34063411	0.46549058	0.10020654	0.47615421	-0.68232054	1.31104767	-0.29298776	
3.800000	-0.25181079	-0.49351898	2.35012960	0.45082304	0.12855859	0.46879497	-1.14104843	1.79577935	-0.40763500	
3.820000	-0.24274580	-0.49079603	2.35959482	0.42529419	0.16860533	0.45749635	-1.74545503	2.32213211	-0.42512798	
3.840000	-0.23421711	-0.48730022	2.36881208	0.38582286	0.22191024	0.44508812	-2.46647978	2.80940509	-0.26461297	
3.860000	-0.22661173	-0.48251796	2.37779617	0.32969570	0.28611186	0.43653092	-3.23328638	3.10210609	0.06735198	
3.880000	-0.22039904	-0.47624776	2.38662291	0.25559020	0.35754690	0.43950668	-3.98931503	3.02088404	0.43000686	
3.900000	-0.21586062	-0.46817675	2.39588237	0.16585048	0.42649889	0.45761085	-4.70415401	2.43335915	0.66587919	
3.920000	-0.21333908	-0.45870432	2.40568471	0.06384400	0.47885683	0.48309413	-5.35824203	1.28543496	0.72154570	
3.940000	-0.21302174	-0.44798812	2.41640568	-0.04928905	0.49938378	0.50181031	-5.94906759	-0.37937820	0.73072433	
3.960000	-0.21505547	-0.43708831	2.42749357	-0.17408839	0.47718465	0.50794876	-6.49510193	-2.37024760	1.04243267	
3.980000	-0.21956520	-0.42694572	2.43859363	-0.31024483	0.40708762	0.51183218	-6.98284006	-4.38185549	1.95801938	
4.000000	-0.22693793	-0.41899475	2.44943690	-0.45647776	0.29079828	0.54123527	-7.33979130	-6.09196091	3.44024277	
4.020000	-0.23745276	-0.41400710	2.46107459	-0.61063021	0.13992023	0.62645584	-7.48189545	-7.24351931	5.17334223	
4.040000	-0.25128654	-0.41275749	2.47496462	-0.76694548	-0.02832052	0.76746821	-7.34087753	-7.66865873	6.69213104	
4.060000	-0.26833299	-0.41528150	2.49219704	-0.91726178	-0.19537327	0.93783790	-6.81258535	-7.31338358	7.42697716	
4.080000	-0.28847349	-0.42133933	2.51322889	-1.05382788	-0.34545574	1.10900533	-5.72467566	-6.23656464	6.93008566	
4.100000	-0.31121770	-0.43023762	2.53765178	-1.16784024	-0.46497989	1.25700319	-3.87400317	-4.57735920	5.06991196	
4.120000	-0.33615792	-0.44128609	2.56492972	-1.24301708	-0.54337955	1.35659599	-1.13076973	-2.53330255	1.96166956	
4.140000	-0.36255801	-0.45356786	2.59404683	-1.25450015	-0.57325810	1.37927353	2.42489219	-0.35568437	-2.08189702	
4.160000	-0.38929453	-0.46611580	2.62358141	-1.17587900	-0.55337626	1.29958332	6.41820765	1.65341067	-6.50792885	
4.180000	-0.41399053	-0.47759673	2.65081573	-0.99584025	-0.48990852	1.10982347	10.18420219	3.18838143	-10.46442795	
4.200000	-0.43367597	-0.48701340	2.67263746	-0.72777009	-0.39726603	0.82913786	12.87314892	4.03402281	-11.68646526	
4.220000	-0.44562250	-0.49377567	2.68636513	-0.40787008	-0.29572695	0.50379801	13.78874397	4.14023447	-9.35175323	
