Time	Left_paced_y_velocity X
8.679999	0.00889233	
8.700000	-0.00123667	
8.720000	0.00060747	
8.740000	0.00490291	
8.760000	0.01032451	
8.780000	0.02196666	
8.800000	0.05107030	
8.820000	0.10187131	
8.840000	0.18453906	
8.860000	0.27870554	
8.880000	0.36569595	
8.900000	0.42069834	
8.920000	0.43918404	
8.940000	0.40965354	
8.960000	0.34491065	
8.980000	0.26917061	
9.000000	0.20348670	
9.020000	0.15241951	
9.040000	0.10560707	
9.059999	0.07251293	
9.080000	0.03452219	
9.099999	-0.02021509	
9.120000	-0.13578808	
9.139999	-0.32502717	
9.160000	-0.52680695	
9.179999	-0.64891541	
9.200000	-0.65247989	
9.220000	-0.54849219	
9.240000	-0.36564586	
9.260000	-0.16954143	
9.280000	-0.03677456	
9.300000	0.00560892	
9.320000	0.00420399	
9.340000	0.00585783	
9.360000	0.01145315	
9.380000	0.01667905	
9.400000	0.01715582	
9.420000	0.01348716	
9.440000	0.02037590	
9.460000	0.03345427	
9.480000	0.06183067	
9.500000	0.11432470	
9.520000	0.20325238	
9.540000	0.29474229	
9.559999	0.36476871	
9.580000	0.39686495	
9.599999	0.38895127	
9.620000	0.33591551	
9.639999	0.26468158	
9.660000	0.21151328	
9.679999	0.18019153	
9.700000	0.16050301	
9.719999	0.13833091	
9.740000	0.11979479	
9.760000	0.08256581	
9.780000	0.03354291	
9.800000	-0.03837808	
9.820000	-0.13323861	
9.840000	-0.28992444	
9.860000	-0.47317338	
9.880000	-0.61066651	
9.900000	-0.64362299	
9.920000	-0.56937385	
9.940000	-0.41366258	
9.960000	-0.21686694	
9.980000	-0.06034987	
10.000000	0.01442395	
10.020000	0.02055180	
10.040000	0.01180190	
10.059999	0.00328856	
10.080000	0.00341348	
10.099999	0.01062564	
10.120000	0.01843093	
10.139999	0.02467315	
10.160000	0.03653701	
10.179999	0.04643225	
10.200000	0.06675767	
10.219999	0.11959102	
10.240000	0.21798539	
10.260000	0.32153675	
10.280000	0.39858326	
10.300000	0.42751932	
10.320000	0.40451545	
