Time	Knöchel re X	Knöchel re Y	Knöchel re Weg	Knöchel re v(X)	Knöchel re v(Y)	Knöchel re v(Bahn)	Knöchel re a(X)	Knöchel re a(Y)	Knöchel re a(Bahn)
1.760000	-0.86940634	-0.42431033	1.01576865	0.75800139	-0.02685759	0.75847703	4.90261459	-7.37304354	4.26044703	
1.780000	-0.85271788	-0.42654905	1.03260660	0.85571420	-0.17590839	0.87360775	4.20653582	-6.64170122	4.74922562	
1.800000	-0.83409381	-0.43232670	1.05210626	0.93632156	-0.30514413	0.98478985	3.17224860	-5.41457129	4.26648951	
1.820000	-0.81428885	-0.44013837	1.07339609	0.99238688	-0.40514913	1.07190371	1.84025848	-3.94696426	2.96808720	
1.840000	-0.79381418	-0.44951206	1.09591448	1.01905870	-0.46920520	1.12188864	0.14364515	-2.42502332	1.03877640	
1.860000	-0.77272362	-0.46004617	1.11948943	1.01063907	-0.49447459	1.12512064	-2.13786626	-0.87206745	-1.56205189	
1.880000	-0.75190741	-0.47067100	1.14286041	0.95840257	-0.49520177	1.07877719	-5.03502083	0.59379280	-4.70096970	
1.900000	-0.73228127	-0.48082057	1.16495562	0.84389168	-0.47018036	0.96603453	-8.04999352	1.75108778	-7.56957626	
1.920000	-0.71547931	-0.48966494	1.18394315	0.63918829	-0.41780952	0.76362717	-10.47722816	2.55640769	-8.60152817	
1.940000	-0.70303708	-0.49816489	1.19901156	0.36240804	-0.34730694	0.50195789	-11.80436134	3.09971142	-7.22962093	
1.960000	-0.69751322	-0.50456715	1.20746744	0.07615111	-0.27732390	0.28758919	-11.55688667	3.28094006	-4.61492825	
1.980000	-0.70147413	-0.50914514	1.21352112	-0.16637264	-0.21050589	0.26831433	-9.57975292	3.02443647	-1.76601958	
2.000000	-0.71057886	-0.51176155	1.22299433	-0.34162191	-0.14684294	0.37184456	-6.58113003	2.52657580	0.70980918	
2.020000	-0.72062904	-0.51428074	1.23335540	-0.43310654	-0.09838165	0.44413987	-3.69118452	2.00444460	1.74187815	
2.040000	-0.72898197	-0.51579988	1.24184537	-0.44920674	-0.06977615	0.45459366	-1.56261289	1.44391179	1.11646175	
2.060000	-0.73723078	-0.51677465	1.25015152	-0.42999518	-0.05127686	0.43304175	-0.26702645	0.88406885	0.12721290	
2.080000	-0.74601579	-0.51721328	1.25894749	-0.42104530	-0.03678102	0.42264879	0.23694053	0.48856062	-0.29247192	
2.100000	-0.75472045	-0.51799846	1.26768744	-0.42631608	-0.03130435	0.42746389	0.11686641	0.26672512	-0.14313318	
2.120000	-0.76264417	-0.51847720	1.27562559	-0.42739344	-0.03227888	0.42861062	-0.13387495	0.10916758	0.12389181	
2.140000	-0.77154309	-0.51923192	1.28455639	-0.42696851	-0.03289455	0.42823377	-0.18404976	0.03257726	0.18138009	
2.160000	-0.77987146	-0.51979989	1.29290414	-0.43397206	-0.03219792	0.43516487	-0.16318715	0.07725450	0.15802936	
2.180000	-0.78883117	-0.52065504	1.30190456	-0.43917033	-0.03123034	0.44027936	-0.15537460	0.16574965	0.14580420	
2.200000	-0.79747778	-0.52110159	1.31056273	-0.44261745	-0.02677986	0.44342685	-0.08043942	0.21618035	0.06938437	
2.220000	-0.80665112	-0.52179027	1.31976187	-0.44353935	-0.01992434	0.44398662	0.00951948	0.23419592	-0.02038354	
2.240000	-0.81531197	-0.52206576	1.32842708	-0.44014958	-0.01299728	0.44034144	0.03278726	0.23590598	-0.04222751	
2.260000	-0.82454073	-0.52224952	1.33765769	-0.43651170	-0.00985935	0.43662304	0.01057746	0.21689226	-0.01675945	
2.280000	-0.83274996	-0.52219176	1.34586716	-0.43654075	-0.00735074	0.43660262	-0.05704423	0.16620949	0.05406636	
2.300000	-0.84158069	-0.52226287	1.35469818	-0.44023055	-0.00418524	0.44025046	-0.15304716	0.11116256	0.15169574	
2.320000	-0.84995502	-0.52262676	1.36308038	-0.44522864	-0.00003055	0.44522864	-0.20924462	0.09912949	0.20843314	
2.340000	-0.85942703	-0.52268451	1.37255251	-0.45058858	0.00027120	0.45058867	-0.14763927	0.10303917	0.14747375	
2.360000	-0.86852026	-0.52245361	1.38164866	-0.45534405	0.00023047	0.45534411	0.00960603	0.07915118	-0.00935668	
2.380000	-0.87782717	-0.52208972	1.39096272	-0.45609507	0.00286847	0.45610410	0.14992772	0.09805701	-0.14907041	
2.400000	-0.88659042	-0.52232277	1.39972901	-0.44740421	0.00575408	0.44744122	0.25342122	0.24162003	-0.24744636	
2.420000	-0.89587736	-0.52245343	1.40901685	-0.43632495	0.00734230	0.43638673	0.36435348	0.48405641	-0.33765683	
2.440000	-0.90446067	-0.52226967	1.41760206	-0.43045115	0.01625567	0.43075800	0.44504783	0.86339462	-0.35250196	
2.460000	-0.91289032	-0.52172017	1.42604959	-0.42479467	0.03612388	0.42632785	0.56297249	1.51458645	-0.26325449	
2.480000	-0.92084289	-0.52112728	1.43402421	-0.41429657	0.06869656	0.41995341	0.93630517	2.41187525	-0.11964237	
2.500000	-0.92966682	-0.51967603	1.44296670	-0.39833319	0.12095218	0.41629168	1.65854478	3.38317394	0.17744917	
2.520000	-0.93761110	-0.51743048	1.45122230	-0.36484534	0.20255810	0.41730314	2.62733078	4.27347374	0.78150874	
2.540000	-0.94535869	-0.51289278	1.46020091	-0.30396172	0.30582064	0.43118325	3.70362115	4.85321426	1.58593988	
2.560000	-0.95108241	-0.50600320	1.46915781	-0.21164855	0.42014030	0.47043914	4.71566057	4.81579590	2.28465176	
2.580000	-0.95474011	-0.49563605	1.48015130	-0.09858082	0.52874064	0.53785205	5.45617437	3.98705840	2.60077024	
2.600000	-0.95558041	-0.48366556	1.49215126	0.02441207	0.61164004	0.61212701	5.79068804	2.43108773	2.35819888	
2.620000	-0.95334387	-0.46961981	1.50637400	0.14688914	0.64980698	0.66620231	5.76533413	0.31224105	1.55702651	
2.640000	-0.94900864	-0.45580459	1.52085340	0.26288542	0.63237625	0.68484193	5.55129528	-2.10133553	0.55777979	
2.660000	-0.94254643	-0.44221145	1.53590441	0.36826515	0.56161165	0.67158532	5.28347778	-4.44525099	-0.00457217	
2.680000	-0.93409878	-0.43125737	1.54973745	0.46818188	0.44037443	0.64274716	5.05815935	-6.33049631	0.29631940	
2.700000	-0.92395830	-0.42333037	1.56260860	0.56589621	0.28212991	0.63232571	4.90711164	-7.52735662	1.37601590	
2.720000	-0.91149902	-0.41926557	1.57571423	0.66314662	0.10480455	0.67137724	4.73280382	-7.95047140	2.79520917	
2.740000	-0.89729893	-0.41928953	1.58991432	0.76013899	-0.06654260	0.76304603	4.43016529	-7.61360979	4.06347656	
2.760000	-0.88110298	-0.42290971	1.60650992	0.85156453	-0.21972822	0.87945586	3.91996884	-6.63195133	4.66850090	
2.780000	-0.86294782	-0.42945129	1.62580764	0.92726046	-0.34360212	0.98887533	3.11012006	-5.21464634	4.29882908	
2.800000	-0.84328628	-0.43785518	1.64718997	0.98592156	-0.43559653	1.07786167	1.96006262	-3.58695292	3.04090548	
2.820000	-0.82235181	-0.44774610	1.67034340	1.01737440	-0.48944113	1.12898326	0.49603239	-1.93262792	1.20554519	
2.840000	-0.80159301	-0.45846081	1.69370437	1.01686871	-0.50802767	1.13671196	-1.32290328	-0.39782384	-1.03014517	
2.860000	-0.78051430	-0.46962479	1.71755695	0.97609842	-0.49453920	1.09422898	-3.64362860	0.91187251	-3.66016674	
2.880000	-0.76113844	-0.47945875	1.73928547	0.88980359	-0.45908338	1.00125325	-6.31812000	1.92096317	-6.43897390	
2.900000	-0.74305671	-0.48841217	1.75946248	0.74348742	-0.40700096	0.84759855	-8.81677151	2.60069418	-8.52366352	
2.920000	-0.72891462	-0.49534905	1.77521431	0.52108347	-0.34544104	0.62518597	-10.58888340	2.95078492	-8.40012264	
2.940000	-0.71905392	-0.50212467	1.78717852	0.25561216	-0.27862602	0.37811381	-11.26081657	3.04556584	-6.15825701	
2.960000	-0.71667373	-0.50703526	1.79263556	-0.00255207	-0.21448003	0.21449521	-10.48258972	2.90539694	-3.30131960	
2.980000	-0.72210377	-0.51097387	1.79934359	-0.21312749	-0.15769148	0.26512247	-8.33347321	2.52832747	-0.50987047	
3.000000	-0.73076952	-0.51269668	1.80817890	-0.35966176	-0.10718699	0.37529406	-5.58833647	1.98521233	1.67874062	
3.020000	-0.74023676	-0.51418418	1.81776226	-0.42984119	-0.07173863	0.43578652	-3.12653255	1.42536628	2.14889288	
3.040000	-0.74827111	-0.51507145	1.82584548	-0.44086012	-0.05188135	0.44390237	-1.34242654	0.88760471	1.14975929	
3.060000	-0.75698543	-0.51599526	1.83460867	-0.43100896	-0.04515895	0.43336827	-0.26570275	0.41937166	0.20901391	
3.080000	-0.76588929	-0.51686090	1.84355450	-0.43070024	-0.04118903	0.43266526	0.12739122	0.14131661	-0.14104378	
3.100000	-0.77442002	-0.51759428	1.85211670	-0.43355656	-0.04360723	0.43574405	0.09662542	0.06134405	-0.10182195	
3.120000	-0.78294492	-0.51846021	1.86068547	-0.43074322	-0.04561045	0.43315127	0.05024694	0.06855062	-0.05630725	
3.140000	-0.79178548	-0.51921064	1.86955786	-0.42802277	-0.04367454	0.43024522	0.07567576	0.11133240	-0.08487239	
3.160000	-0.80004930	-0.52057558	1.87793362	-0.42643654	-0.03797361	0.42812395	0.03398978	0.21408911	-0.05078574	
3.180000	-0.80896294	-0.52129036	1.88687587	-0.42388076	-0.03318512	0.42517778	-0.05991457	0.29109800	0.03908238	
3.200000	-0.81697768	-0.52179229	1.89490628	-0.42694592	-0.02775017	0.42784682	-0.15782943	0.28741980	0.13977122	
3.220000	-0.82567257	-0.52186334	1.90360141	-0.43211612	-0.01936778	0.43254995	-0.27603161	0.26438555	0.26209965	
3.240000	-0.83398420	-0.52242035	1.91193163	-0.43896666	-0.01388738	0.43918628	-0.33440179	0.27744964	0.32348421	
3.260000	-0.84331846	-0.52284843	1.92127573	-0.44736597	-0.01093968	0.44749969	-0.25869921	0.27169847	0.25229481	
3.280000	-0.85217416	-0.52296400	1.93013215	-0.45622519	-0.00658408	0.45627269	-0.13480653	0.23173152	0.13237715	
3.300000	-0.86160421	-0.52296400	1.93956220	-0.45768130	0.00064472	0.45768175	-0.02647972	0.19057825	0.02531669	
3.320000	-0.87051004	-0.52284431	1.94846880	-0.45146453	0.00563015	0.45149964	0.08757210	0.12623341	-0.08829568	
3.340000	-0.88017875	-0.52268779	1.95813882	-0.44676992	0.00722309	0.44682831	0.16025920	0.02845912	-0.16040076	
3.360000	-0.88844419	-0.52251256	1.96640611	-0.44492391	0.00534629	0.44495603	0.10763402	-0.05850274	-0.10770915	
3.380000	-0.89736199	-0.52227950	1.97532701	-0.44262862	0.00149906	0.44263116	0.01276371	-0.08720071	-0.01328512	
3.400000	-0.90584481	-0.52231163	1.98380995	-0.44269493	-0.00136221	0.44269702	0.00026599	-0.04830187	-0.00094001	
3.420000	-0.91526085	-0.52248693	1.99322760	-0.44613588	-0.00227342	0.44614166	0.06611344	0.08447337	-0.06488994	
3.440000	-0.92402411	-0.52271992	2.00199389	-0.44732276	-0.00003030	0.44732276	0.19740789	0.29408392	-0.18839505	
3.460000	-0.93322235	-0.52268779	2.01119208	-0.44179890	0.00589539	0.44183823	0.41308412	0.56701094	-0.37894696	
3.480000	-0.94174027	-0.52245480	2.01971316	-0.43026936	0.02043495	0.43075436	0.64573222	0.95493925	-0.53870559	
3.500000	-0.95072991	-0.52200484	2.02871394	-0.41308710	0.04091807	0.41510871	0.86424094	1.54224682	-0.54658830	
3.520000	-0.95853752	-0.52135295	2.03654861	-0.39238268	0.07278991	0.39907712	1.15993142	2.29283261	-0.36859137	
3.540000	-0.96662050	-0.51953703	2.04483318	-0.37185460	0.12202581	0.39136446	1.63940275	3.14088988	0.05208252	
3.560000	-0.97312641	-0.51730102	2.05171251	-0.34173641	0.19752350	0.39471421	2.36854911	4.01133585	0.77132684	
3.580000	-0.98026204	-0.51270103	2.06020236	-0.29239792	0.29046425	0.41214806	3.40502191	4.66307354	1.67046845	
3.600000	-0.98625392	-0.50654966	2.06878972	-0.21493500	0.39906350	0.45326453	4.59413481	4.78970861	2.50677872	
3.620000	-0.99072689	-0.49670821	2.07959986	-0.10756399	0.50931513	0.52054965	5.65394735	4.18245888	3.01822972	
3.640000	-0.99200726	-0.48562029	2.09076142	0.02881014	0.60108680	0.60177684	6.38732910	2.80341744	3.00219226	
3.660000	-0.98975545	-0.47138295	2.10517573	0.17246720	0.65279144	0.67519003	6.70973682	0.70772219	2.43983936	
3.680000	-0.98426384	-0.45737898	2.12021804	0.31389830	0.64658898	0.71875548	6.64478493	-1.83323777	1.64656866	
3.700000	-0.97620577	-0.44296584	2.13673091	0.44315886	0.58079660	0.73055762	6.38416052	-4.42807388	1.20372927	
