Time	Right_paced_y_baseline X
9.400000	-0.01977216	
9.420000	-0.01977216	
9.440000	-0.01977216	
9.460000	-0.01939753	
9.480000	-0.01902308	
9.500000	-0.01837839	
9.520000	-0.01794414	
9.540000	-0.01767391	
9.559999	-0.01767391	
9.580000	-0.01739432	
9.599999	-0.01588063	
9.620000	-0.00808306	
9.639999	0.00523396	
9.660000	0.02351943	
9.679999	0.04004169	
9.700000	0.05482479	
9.719999	0.06457196	
9.740000	0.07010777	
9.760000	0.07138380	
9.780000	0.06879201	
9.800000	0.06012494	
9.820000	0.04051719	
9.840000	0.01353575	
9.860000	-0.00860517	
9.880000	-0.01976898	
9.900000	-0.02044474	
9.920000	-0.02028540	
9.940000	-0.02017567	
9.960000	-0.02031547	
9.980000	-0.02036524	
10.000000	-0.02036524	
10.020000	-0.02022544	
10.040000	-0.02017584	
10.059999	-0.02017567	
10.080000	-0.02031547	
10.099999	-0.02016748	
10.120000	-0.01996991	
10.139999	-0.01977216	
10.160000	-0.01961984	
10.179999	-0.01891920	
10.200000	-0.01821873	
10.219999	-0.01449087	
10.240000	-0.00831255	
10.260000	0.00433406	
10.280000	0.01881252	
10.300000	0.03643493	
10.320000	0.05088633	
10.340000	0.06246904	
10.360000	0.06831467	
10.380000	0.07282750	
10.400000	0.07555173	
10.420000	0.07901318	
10.440000	0.08048678	
10.460000	0.07896107	
10.480000	0.07314850	
10.500000	0.05957528	
