Time	Knee_Angle_left X
21.260000	143.28800964	
21.279999	138.88662720	
21.299999	134.44203186	
21.320000	130.83447266	
21.340000	128.37435913	
21.359999	127.51087952	
21.379999	127.71746063	
21.400000	128.77203369	
21.420000	130.50669861	
21.439999	132.76651001	
21.459999	135.38410950	
21.480000	138.17282104	
21.500000	140.93925476	
21.520000	143.41023254	
21.539999	145.32566833	
21.559999	146.52339172	
21.580000	147.11915588	
21.600000	147.32167053	
21.619999	147.33763123	
21.639999	147.31961060	
21.660000	147.40385437	
21.680000	147.63085938	
21.699999	147.98660278	
21.719999	148.55682373	
21.740000	149.43214417	
21.760000	150.61999512	
21.779999	151.95399475	
21.799999	153.34068298	
21.820000	154.65184021	
21.840000	155.71884155	
21.859999	156.52670288	
21.879999	157.16931152	
21.900000	157.81388855	
21.920000	158.49896240	
21.939999	159.14385986	
21.959999	159.70816040	
21.980000	160.40527344	
22.000000	160.87232971	
22.020000	161.16398621	
