Time	Hip_left X
11.360000	72.53824615	
11.380000	73.22883606	
11.400000	73.98632813	
11.420000	74.84519196	
11.440000	75.83941650	
11.460000	76.97161865	
11.480000	78.20217133	
11.500000	79.48173523	
11.520000	80.76464844	
11.540000	81.98816681	
11.559999	83.11441803	
11.580000	84.14907837	
11.599999	85.11566925	
11.620000	86.03601837	
11.639999	86.92015076	
11.660000	87.80937195	
11.679999	88.67417145	
11.700000	89.45512390	
11.719999	90.03946686	
11.740000	90.35784912	
11.759999	90.30656433	
11.780000	89.83935547	
11.800000	88.93302917	
11.820000	87.64936829	
11.840000	86.09899902	
11.860000	84.42004395	
11.880000	82.75481415	
11.900000	81.21140289	
11.920000	79.86518860	
11.940000	78.73861694	
11.960000	77.83452606	
11.980000	77.13055420	
12.000000	76.60969543	
12.020000	76.24394989	
12.040000	76.01332092	
12.059999	75.89004517	
12.080000	75.86209869	
12.099999	75.93391418	
12.120000	76.12874603	
12.139999	76.46539307	
12.160000	76.94266510	
12.179999	77.53747559	
12.200000	78.20514679	
12.219999	78.90312958	
12.240000	79.61495209	
12.259999	80.35823059	
12.280000	81.15912628	
12.300000	82.03179169	
12.320000	82.95558167	
12.340000	83.87027740	
12.360000	84.73854828	
12.380000	85.56225586	
12.400000	86.37154388	
12.420000	87.19373322	
12.440000	88.03811646	
12.460000	88.88430023	
12.480000	89.66050720	
12.500000	90.27877808	
12.520000	90.65090179	
12.540000	90.70670319	
12.559999	90.36878204	
12.580000	89.60269165	
12.599999	88.41648102	
12.620000	86.88964844	
12.639999	85.15679932	
12.660000	83.36792755	
12.679999	81.65911102	
12.700000	80.11920929	
12.719999	78.79933929	
12.740000	77.70889282	
12.759999	76.84331512	
12.780000	76.17903137	
12.799999	75.70470428	
12.820000	75.40097046	
12.840000	75.25344849	
12.860000	75.24160004	
12.880000	75.35635376	
12.900000	75.58309174	
12.920000	75.89972687	
12.940000	76.27293396	
12.960000	76.66553497	
12.980000	77.05923462	
13.000000	77.45980835	
13.020000	77.90985107	
13.040000	78.45872498	
13.059999	79.14657593	
13.080000	79.96578979	
13.099999	80.87580109	
13.120000	81.82347107	
13.139999	82.78755951	
13.160000	83.76790619	
13.179999	84.77726746	
13.200000	85.81599426	
13.219999	86.89489746	
13.240000	87.95996857	
13.259999	88.95139313	
13.280000	89.78530884	
13.299999	90.43482971	
13.320000	90.63643646	
13.340000	90.35213470	
13.360000	89.59650421	
13.380000	88.62149048	
13.400000	87.45270538	
13.420000	86.06913757	
13.440000	84.49153137	
13.460000	82.77569580	
13.480000	81.00789642	
13.500000	79.27744293	
13.520000	77.67583466	
13.540000	76.27594757	
13.559999	75.13262177	
13.580000	74.26035309	
13.599999	73.64587402	
13.620000	73.24999237	
13.639999	73.02859497	
13.660000	72.94219208	
13.679999	72.96121216	
13.700000	73.06745148	
13.719999	73.24172974	
13.740000	73.47785187	
13.759999	73.77719879	
13.780000	74.15197754	
13.799999	74.59857941	
13.820000	75.10597229	
13.840000	75.64866638	
13.860000	76.21395111	
13.880000	76.80530548	
13.900000	77.45835114	
13.920000	78.21085358	
13.940000	79.07972717	
13.960000	80.04179382	
13.980000	81.06003571	
14.000000	82.09412384	
14.020000	83.11231232	
14.040000	84.10537720	
14.059999	85.07262421	
14.080000	86.01901245	
14.099999	86.94713593	
14.120000	87.82978821	
14.139999	88.65827942	
14.160000	89.39805603	
14.179999	90.00180054	
14.200000	90.36820984	
14.219999	90.40927124	
14.240000	90.04569244	
14.259999	89.24761200	
14.280000	88.03112793	
14.299999	86.48389435	
14.320000	84.73926544	
14.340000	82.92555237	
14.360000	81.19143677	
14.380000	79.63713074	
14.400000	78.27816010	
14.420000	77.12900543	
14.440000	76.15913391	
14.460000	75.32908630	
14.480000	74.57775116	
14.500000	73.93048859	
14.520000	73.42043304	
14.540000	73.05722809	
14.559999	72.83806610	
14.580000	72.78852081	
14.599999	72.93110657	
14.620000	73.24455261	
14.639999	73.74327087	
14.660000	74.42106628	
14.679999	75.24049377	
14.700000	76.17903137	
14.719999	77.42308807	
14.740000	78.64647675	
14.759999	79.49323273	
14.780000	79.68569183	
14.799999	79.68503571	
14.820000	80.11775208	
14.839999	81.32462311	
14.860000	82.76956940	
14.880000	84.06642914	
14.900000	84.89072418	
14.920000	85.61743164	
14.940000	86.33864594	
14.960000	87.11521912	
14.980000	88.00434113	
15.000000	88.97254181	
15.020000	90.03325653	
15.040000	91.17243958	
15.059999	92.38087463	
15.080000	93.59400940	
15.099999	94.71388245	
15.120000	95.58420563	
15.139999	96.06050110	
15.160000	96.00287628	
15.179999	95.34410095	
15.200000	94.09439850	
15.219999	92.36179352	
15.240000	90.29942322	
15.259999	88.06819153	
15.280000	85.81394958	
15.299999	83.63288879	
15.320000	81.62011719	
15.339999	79.84897614	
15.360000	78.37406921	
15.380000	77.20886230	
15.400000	76.34809875	
15.420000	75.75017548	
15.440000	75.34786987	
15.460000	75.05648804	
15.480000	74.81970978	
15.500000	74.62635803	
15.520000	74.52456665	
15.540000	74.58283997	
15.559999	74.86014557	
15.580000	75.50259399	
15.599999	76.18380737	
15.620000	76.94565582	
15.639999	77.54223633	
15.660000	78.24675751	
15.679999	78.96752167	
15.700000	79.78848267	
15.719999	80.68705750	
15.740000	81.62579346	
15.759999	82.52819824	
15.780000	83.39368439	
15.799999	84.19262695	
15.820000	85.01323700	
15.839999	85.89002991	
15.860000	86.84985352	
15.880000	87.78646088	
15.900000	88.62890625	
15.920000	89.27416992	
15.940000	89.64275360	
15.960000	89.65585327	
15.980000	89.26419067	
16.000000	88.08466339	
16.020000	86.18277740	
16.039999	83.81332397	
16.059999	81.61543274	
16.080000	79.79457092	
16.100000	78.36140442	
16.119999	77.28614044	
16.139999	76.49483490	
16.160000	75.89600372	
16.180000	75.35099030	
16.199999	74.69753265	
16.219999	74.09241486	
16.240000	73.70624542	
16.260000	73.60306549	
16.279999	73.78040314	
16.299999	73.97814941	
16.320000	74.39582825	
16.340000	74.97269440	
16.359999	75.62623596	
16.379999	76.15137482	
16.400000	76.43833160	
16.420000	76.75675201	
16.440001	77.23201752	
16.459999	77.90062714	
16.480000	78.73504639	
16.500000	79.67088318	
16.520000	80.63931274	
16.539999	81.61794281	
16.559999	82.61926270	
16.580000	83.68886566	
16.600000	84.85437012	
16.619999	86.06605530	
16.639999	87.12380981	
16.660000	87.99815369	
16.680000	88.72621918	
16.699999	89.42807770	
16.719999	89.99782562	
16.740000	90.16301727	
16.760000	90.19633484	
16.779999	89.89070892	
16.799999	89.38353729	
16.820000	88.30995178	
