Time	Right_Heel_y_baseline X
11.740000	0.00178885	
11.759999	0.01813644	
11.780000	0.03484040	
11.800000	0.04879603	
11.820000	0.05865575	
11.840000	0.06296229	
11.860000	0.05884469	
11.880000	0.04680161	
11.900000	0.02608997	
11.920000	0.00359291	
11.940000	-0.01938131	
11.960000	-0.03553750	
11.980000	-0.04483961	
12.000000	-0.04616465	
12.020000	-0.04233895	
12.040000	-0.03735034	
12.059999	-0.02721182	
12.080000	-0.01603237	
12.099999	-0.00030157	
12.120000	0.01429826	
12.139999	0.03133405	
12.160000	0.04663048	
12.179999	0.05842730	
12.200000	0.06333034	
12.219999	0.05767768	
12.240000	0.04281154	
12.259999	0.01916937	
12.280000	-0.00578003	
12.300000	-0.02801712	
12.320000	-0.04076765	
12.340000	-0.04596260	
12.360000	-0.04548974	
12.380000	-0.04080001	
12.400000	-0.03269826	
12.420000	-0.02013564	
12.440000	-0.00772123	
12.460000	0.00790744	
12.480000	0.02430496	
12.500000	0.04178905	
12.520000	0.05418913	
12.540000	0.06093041	
12.559999	0.05868359	
12.580000	0.04701798	
12.599999	0.02587851	
12.620000	0.00037272	
12.639999	-0.02312309	
12.660000	-0.03817038	
12.679999	-0.04532802	
12.700000	-0.04502548	
12.719999	-0.04132199	
12.740000	-0.03360100	
12.759999	-0.02324836	
12.780000	-0.00910358	
12.799999	0.00631566	
12.820000	0.02430087	
12.840000	0.04133338	
12.860000	0.05724494	
12.880000	0.06686024	
12.900000	0.06844547	
12.920000	0.05907621	
12.940000	0.04043452	
12.960000	0.01477031	
12.980000	-0.01262857	
13.000000	-0.03382823	
13.020000	-0.04512537	
13.040000	-0.04727721	
13.059999	-0.04361835	
13.080000	-0.03875686	
13.099999	-0.03032330	
13.120000	-0.02092806	
13.139999	-0.00744569	
13.160000	0.00462788	
13.179999	0.01757658	
13.200000	0.02742381	
13.219999	0.03374483	
13.240000	0.03399949	
13.259999	0.02495652	
13.280000	0.00879789	
13.299999	-0.01265703	
13.320000	-0.03016077	
13.340000	-0.04085527	
13.360000	-0.04466459	
13.380000	-0.04238154	
13.400000	-0.03652620	
13.420000	-0.02609168	
13.440000	-0.01491223	
13.460000	-0.00108640	
13.480000	0.01272655	
13.500000	0.02602672	
13.520000	0.03511634	
13.540000	0.03910784	
13.559999	0.03548460	
13.580000	0.02195128	
13.599999	0.00025441	
13.620000	-0.02452898	
13.639999	-0.03950608	
13.660000	-0.04717731	
13.679999	-0.04629074	
13.700000	-0.04390083	
13.719999	-0.03877303	
13.740000	-0.03142031	
13.759999	-0.02211103	
13.780000	-0.00896767	
13.799999	0.00601475	
13.820000	0.02209540	
13.840000	0.03734003	
13.860000	0.05077510	
13.880000	0.05879004	
13.900000	0.06032592	
13.920000	0.05591723	
13.940000	0.04471773	
13.960000	0.02827599	
13.980000	0.00583400	
14.000000	-0.01523547	
14.020000	-0.03308330	
14.040000	-0.04200345	
14.059999	-0.04566415	
14.080000	-0.04543242	
14.099999	-0.04272339	
14.120000	-0.03863464	
14.139999	-0.02980377	
14.160000	-0.01976922	
14.179999	-0.00454362	
14.200000	0.01101298	
14.219999	0.02722976	
14.240000	0.03980486	
14.259999	0.04711705	
14.280000	0.04753874	
14.299999	0.03883477	
14.320000	0.02184524	
14.340000	-0.00120021	
14.360000	-0.02325675	
14.380000	-0.03832841	
14.400000	-0.04518515	
14.420000	-0.04303208	
14.440000	-0.03860538	
14.460000	-0.02991021	
14.480000	-0.02072580	
14.500000	-0.00570367	
14.520000	0.01006582	
14.540000	0.02709302	
14.559999	0.04005890	
14.580000	0.04792891	
14.599999	0.04741019	
14.620000	0.03730933	
14.639999	0.01915791	
14.660000	-0.00446482	
14.679999	-0.02656250	
14.700000	-0.04120450	
14.719999	-0.04746062	
14.740000	-0.04596731	
14.759999	-0.04227877	
14.780000	-0.03517845	
14.799999	-0.02752993	
14.820000	-0.01585326	
14.839999	-0.00343168	
14.860000	0.01106027	
14.880000	0.02384929	
14.900000	0.03393562	
14.920000	0.03795353	
14.940000	0.03216391	
14.960000	0.01832149	
14.980000	-0.00268492	
15.000000	-0.02251245	
15.020000	-0.03759435	
15.040000	-0.04445599	
15.059999	-0.04587130	
