Time	Knee_Angle_right X
21.660000	169.03643799	
21.680000	168.28620911	
21.699999	167.12284851	
21.719999	165.74996948	
21.740000	163.67649841	
21.760000	161.51673889	
21.779999	158.38887024	
21.799999	154.86009216	
21.820000	150.50315857	
21.840000	146.06809998	
21.859999	141.55885315	
21.879999	137.72357178	
21.900000	134.62472534	
21.920000	132.68444824	
21.939999	131.70445251	
21.959999	131.69346619	
21.980000	132.32324219	
22.000000	133.53907776	
22.020000	135.13601685	
