Time	Left_paced_y_baseline X
7.060000	0.02274064	
7.080000	0.03819215	
7.100000	0.05226819	
7.120000	0.06279780	
7.140000	0.07133255	
7.160000	0.07711088	
7.180000	0.08202462	
7.200000	0.08403696	
7.220000	0.08588018	
7.240000	0.08640835	
7.260000	0.08631863	
7.280000	0.08570074	
7.300000	0.08432227	
7.320000	0.08361199	
7.340000	0.08214730	
7.360000	0.08146315	
7.380000	0.08060455	
7.400000	0.08050068	
7.420000	0.07936475	
7.440000	0.07637030	
7.460000	0.07105906	
7.480000	0.06328170	
7.500000	0.04950761	
7.520000	0.02729633	
7.540000	-0.00057811	
7.560000	-0.02045846	
7.580000	-0.02914535	
7.600000	-0.02869074	
7.620000	-0.02791438	
7.640000	-0.02757762	
7.660000	-0.02677645	
7.680000	-0.02631202	
7.700000	-0.02354829	
7.720000	-0.01894866	
7.740000	-0.00840773	
7.760000	0.00552882	
7.780000	0.02150967	
7.800000	0.03469781	
7.820000	0.04561927	
7.840000	0.05231863	
7.860000	0.05519972	
7.880000	0.05446796	
7.900000	0.05084312	
7.920000	0.04550241	
7.940000	0.03446627	
7.960000	0.01838638	
7.980000	-0.00418031	
8.000000	-0.02121934	
8.020000	-0.02988976	
8.040000	-0.02968834	
8.059999	-0.02924390	
8.080000	-0.02935342	
8.099999	-0.02949890	
8.120000	-0.02953453	
8.139999	-0.02947943	
8.160000	-0.02938871	
8.179999	-0.02929799	
8.200000	-0.02929799	
8.220000	-0.02875917	
8.240000	-0.02822050	
8.260000	-0.02586958	
8.280000	-0.02132788	
8.300000	-0.01036148	
8.320000	0.00373471	
8.340000	0.01965979	
8.360000	0.03224119	
8.380000	0.04195115	
8.400000	0.04714721	
8.420000	0.04957436	
8.440000	0.04996155	
8.460000	0.05030446	
8.480000	0.05033525	
8.500000	0.04984403	
8.520000	0.04799216	
8.540000	0.03945541	
8.559999	0.02181645	
8.580000	-0.00298180	
8.599999	-0.02098930	
8.620000	-0.02906644	
8.639999	-0.02862367	
8.660000	-0.02852446	
8.679999	-0.02876200	
8.700000	-0.02885121	
8.720000	-0.02870274	
8.740000	-0.02860469	
8.760000	-0.02865496	
8.780000	-0.02842325	
8.800000	-0.02814126	
8.820000	-0.02711420	
8.840000	-0.02524303	
8.860000	-0.02107370	
8.880000	-0.01469594	
8.900000	-0.00458847	
8.920000	0.00481820	
8.940000	0.01497926	
8.960000	0.02162120	
8.980000	0.02895343	
9.000000	0.03257827	
9.020000	0.03625139	
9.040000	0.03763667	
9.059999	0.04008397	
9.080000	0.04117727	
9.099999	0.04182380	
9.120000	0.04134540	
9.139999	0.03877442	
9.160000	0.03303454	
9.179999	0.01895949	
9.200000	-0.00123863	
9.220000	-0.01853384	
9.240000	-0.02743115	
9.260000	-0.02779803	
9.280000	-0.02745211	
9.300000	-0.02755132	
9.320000	-0.02799644	
9.340000	-0.02799644	
9.360000	-0.02755132	
9.380000	-0.02695107	
9.400000	-0.02679576	
9.420000	-0.02647632	
9.440000	-0.02631186	
9.460000	-0.02588905	
9.480000	-0.02563071	
9.500000	-0.02378634	
9.520000	-0.02228136	
9.540000	-0.01734565	
9.559999	-0.01096655	
9.580000	0.00020525	
9.599999	0.00865345	
9.620000	0.01703522	
9.639999	0.02139031	
9.660000	0.02672370	
9.679999	0.02913038	
9.700000	0.03312659	
9.719999	0.03551497	
9.740000	0.03931941	
9.760000	0.04088248	
9.780000	0.04266194	
9.800000	0.04303315	
9.820000	0.04166917	
9.840000	0.03913431	
