Time	Hip_Knee-Angle_left X
13.840000	90.84480286	
13.860000	91.30069733	
13.880000	91.74765015	
13.900000	92.18219757	
13.920000	92.55020905	
13.940000	92.95490265	
13.960000	93.23567200	
13.980000	93.53578949	
14.000000	93.68599701	
14.020000	93.85535431	
14.040000	93.89682007	
14.059999	93.87235260	
14.080000	93.77321625	
14.099999	93.53367615	
14.120000	93.16048431	
14.139999	92.53047943	
14.160000	91.74341583	
14.179999	90.73806000	
14.200000	89.60142517	
14.219999	88.28276825	
14.240000	86.84165955	
14.259999	85.27682495	
14.280000	83.71231842	
14.299999	82.18347168	
14.320000	80.78591919	
14.340000	79.51340485	
14.360000	78.49663544	
14.380000	77.66178894	
14.400000	77.16003418	
14.420000	76.86818695	
14.440000	76.79677582	
14.460000	76.84080505	
14.480000	77.00644684	
14.500000	77.38111877	
14.520000	77.87995911	
14.540000	78.52088165	
14.559999	79.20080566	
14.580000	79.92794037	
14.599999	80.57276154	
