Time	Knee_Ankle_Angle_left X
20.299999	105.87195587	
20.320000	105.83357239	
20.340000	105.67324066	
20.359999	105.53321838	
20.379999	105.48126984	
20.400000	105.47836304	
20.420000	105.47415924	
20.439999	105.53947449	
20.459999	105.66537476	
20.480000	105.83055115	
20.500000	106.04000092	
20.520000	106.27584076	
20.539999	106.48471069	
20.559999	106.62612152	
20.580000	106.68483734	
20.600000	106.80863190	
20.619999	106.92689514	
20.639999	107.17247772	
20.660000	107.44027710	
20.680000	107.82281494	
20.699999	108.38817596	
20.719999	108.97434998	
20.740000	109.81453705	
20.760000	110.62434387	
20.779999	111.78976440	
20.799999	112.90773773	
20.820000	114.25952148	
20.840000	115.51385498	
20.859999	116.99084473	
20.879999	118.41207886	
20.900000	119.81854248	
20.920000	120.96973419	
20.939999	121.87332153	
20.959999	122.40719604	
20.980000	122.36107635	
21.000000	121.76847076	
21.020000	120.57466125	
21.039999	119.12988281	
21.059999	117.26869965	
21.080000	115.36396790	
21.100000	113.21311188	
21.119999	111.30123138	
21.139999	109.61298370	
21.160000	108.70693970	
21.180000	108.49932098	
21.199999	108.68743134	
21.219999	108.75267792	
21.240000	108.59062958	
21.260000	108.34889984	
21.279999	108.27367401	
21.299999	108.21582031	
21.320000	108.23136139	
21.340000	108.15016937	
21.359999	108.08570862	
21.379999	107.96987915	
21.400000	107.85655212	
21.420000	107.73993683	
21.439999	107.59751129	
21.459999	107.49560547	
21.480000	107.43848419	
21.500000	107.50614166	
21.520000	107.63368225	
21.539999	107.80096436	
21.559999	107.87070465	
21.580000	107.88800049	
21.600000	107.91335297	
21.619999	107.98983002	
21.639999	108.13735199	
21.660000	108.28932953	
21.680000	108.45336914	
21.699999	108.65695190	
21.719999	108.80340576	
21.740000	109.10652161	
21.760000	109.39399719	
21.779999	109.87329102	
21.799999	110.32691956	
21.820000	110.90443420	
21.840000	111.44262695	
21.859999	112.25545502	
21.879999	113.19821167	
21.900000	114.43605804	
21.920000	115.73028564	
21.939999	117.18757629	
21.959999	118.61732483	
21.980000	119.98434448	
22.000000	121.10905457	
22.020000	121.97373962	
22.039999	122.44419861	
22.059999	122.66783142	
22.080000		
