Time	Paced_right_y_baseline X
10.200000	0.01206210	
10.219999	0.00981937	
10.240000	0.00848675	
10.260000	0.00650996	
10.280000	0.00586583	
10.300000	0.00133467	
10.320000	-0.00259162	
10.340000	-0.00675052	
10.360000	-0.00702393	
10.380000	-0.00725636	
10.400000	-0.00725804	
10.420000	-0.00735606	
10.440000	-0.00749962	
10.460000	-0.00764166	
10.480000	-0.00768550	
10.500000	-0.00781178	
10.520000	-0.00793807	
10.540000	-0.00788561	
10.559999	-0.00770684	
10.580000	-0.00743411	
10.599999	-0.00734033	
10.620000	-0.00715376	
10.639999	-0.00706133	
10.660000	-0.00554824	
10.679999	-0.00412792	
10.700000	0.00056390	
10.719999	0.00416212	
10.740000	0.00975420	
10.760000	0.01207463	
10.780000	0.01571719	
10.800000	0.01736607	
10.820000	0.01904286	
10.840000	0.01905639	
10.860000	0.01800546	
10.880000	0.01692659	
10.900000	0.01449071	
10.920000	0.01311913	
10.940000	0.00957239	
10.960000	0.00718085	
10.980000	0.00070305	
11.000000	-0.00359941	
11.020000	-0.00749217	
11.040000	-0.00734861	
11.059999	-0.00749370	
11.080000	-0.00786935	
11.099999	-0.00796026	
11.120000	-0.00776286	
11.139999	-0.00778690	
11.160000	-0.00804591	
11.179999	-0.00840718	
11.200000	-0.00850977	
11.219999	-0.00833811	
11.240000	-0.00806420	
11.259999	-0.00774458	
11.280000	-0.00769888	
11.300000	-0.00742513	
11.320000	-0.00719693	
11.340000	-0.00672412	
11.360000	-0.00647967	
11.380000	-0.00427622	
11.400000	-0.00177211	
11.420000	0.00354320	
11.440000	0.00704645	
11.460000	0.01082681	
11.480000	0.01179633	
11.500000	0.01229843	
11.520000	0.01197882	
11.540000	0.01122752	
11.559999	0.01079565	
11.580000	0.00902745	
11.599999	0.00769109	
11.620000	0.00570297	
11.639999	0.00469148	
11.660000	-0.00006907	
11.679999	-0.00417820	
11.700000	-0.00779419	
11.719999	-0.00766112	
11.740000	-0.00758055	
11.759999	-0.00763302	
11.780000	-0.00772038	
11.800000	-0.00775541	
11.820000	-0.00751638	
11.840000	-0.00724247	
11.860000	-0.00654466	
11.880000	-0.00612061	
11.900000	-0.00315298	
11.920000	-0.00042661	
11.940000	0.00485636	
11.960000	0.00759594	
11.980000	0.00890929	
12.000000	0.00678980	
12.020000	0.00058065	
12.040000	-0.00430432	
12.059999	-0.00798751	
12.080000	-0.00758071	
12.099999	-0.00725484	
12.120000	-0.00725484	
12.139999	-0.00734591	
12.160000	-0.00743699	
12.179999	-0.00724638	
12.200000	-0.00696467	
12.219999	-0.00536270	
12.240000	-0.00404260	
12.259999	-0.00129607	
12.280000	0.00013036	
12.300000	0.00411928	
12.320000	0.00698449	
12.340000	0.01067157	
12.360000	0.01179633	
12.380000	0.01181968	
12.400000	0.01102132	
12.420000	0.00825313	
12.440000	0.00628328	
12.460000	0.00166208	
12.480000	-0.00161247	
12.500000	-0.00546850	
12.520000	-0.00667486	
12.540000	-0.00720659	
12.559999	-0.00715682	
12.580000	-0.00731087	
12.599999	-0.00755990	
12.620000	-0.00789830	
12.639999	-0.00806843	
12.660000	-0.00813903	
12.679999	-0.00812040	
12.700000	-0.00760390	
12.719999	-0.00714344	
12.740000	-0.00527129	
12.759999	-0.00385976	
12.780000	-0.00000271	
12.799999	0.00244282	
12.820000	0.00694606	
12.840000	0.00900342	
12.860000	0.01162568	
12.880000	0.01219025	
12.900000	0.01172319	
12.920000	0.01069121	
12.940000	0.00832762	
12.960000	0.00589325	
12.980000	-0.00017843	
13.000000	-0.00491832	
13.020000	-0.00827783	
13.040000	-0.00799987	
13.059999	-0.00772172	
13.080000	-0.00776523	
13.099999	-0.00805794	
13.120000	-0.00822824	
13.139999	-0.00802898	
13.160000	-0.00758071	
13.179999	-0.00673546	
13.200000	-0.00621608	
13.219999	-0.00374651	
13.240000	-0.00139239	
13.259999	0.00419343	
13.280000	0.00874677	
13.299999	0.01554978	
13.320000	0.01926225	
13.340000	0.02400012	
13.360000	0.02607779	
13.380000	0.02776559	
13.400000	0.02751030	
13.420000	0.02464019	
13.440000	0.02073641	
13.460000	0.01385638	
13.480000	0.00577323	
13.500000	-0.00177854	
13.520000	-0.00640382	
13.540000	-0.00720507	
13.559999	-0.00725484	
13.580000	-0.00720507	
13.599999	-0.00715528	
13.620000	-0.00696467	
13.639999	-0.00682382	
13.660000	-0.00508879	
13.679999	-0.00300588	
13.700000	0.00152461	
13.719999	0.00538690	
13.740000	0.01128440	
13.759999	0.01579794	
13.780000	0.02156524	
13.799999	0.02481219	
13.820000	0.02893046	
13.840000	0.03091434	
13.860000	0.03400977	
13.880000	0.03517058	
13.900000	0.03609590	
13.920000	0.03590545	
13.940000	0.03344503	
13.960000	0.02923873	
13.980000	0.02228676	
14.000000	0.01416399	
14.020000	0.00363462	
14.040000	-0.00414924	
14.059999	-0.00817949	
14.080000	-0.00787121	
14.099999	-0.00775762	
14.120000	-0.00799479	
14.139999	-0.00784090	
14.160000	-0.00754347	
14.179999	-0.00706016	
14.200000	-0.00691931	
14.219999	-0.00504647	
14.240000	-0.00194986	
14.259999	0.00393595	
14.280000	0.01028289	
14.299999	0.01690271	
14.320000	0.02068816	
14.340000	0.02285115	
14.360000	0.02338289	
14.380000	0.02377124	
14.400000	0.02365020	
14.420000	0.02336614	
14.440000	0.02302773	
14.460000	0.02042475	
14.480000	0.01698533	
14.500000	0.00970003	
14.520000	0.00174384	
14.540000	-0.00525334	
14.559999	-0.00820538	
14.580000	-0.00823247	
14.599999	-0.00823247	
14.620000	-0.00819522	
14.639999	-0.00819506	
14.660000	-0.00801274	
14.679999	-0.00786783	
14.700000	-0.00764166	
14.719999	-0.00744833	
14.740000	-0.00606796	
14.759999	-0.00329739	
14.780000	0.00215250	
14.799999	0.00702104	
14.820000	0.01321156	
14.839999	0.01677813	
14.860000	0.02058439	
14.880000	0.02163465	
14.900000	0.02034739	
14.920000	0.01741566	
14.940000	0.01196578	
14.960000	0.00849284	
14.980000	0.00384589	
15.000000	-0.00009650	
15.020000	-0.00470181	
15.040000	-0.00737113	
15.059999	-0.00799496	
15.080000	-0.00784548	
15.099999	-0.00780739	
15.120000	-0.00804000	
15.139999	-0.00821656	
15.160000	-0.00824365	
15.179999	-0.00771581	
15.200000	-0.00719948	
15.219999	-0.00495793	
15.240000	-0.00216706	
15.259999	0.00297846	
15.280000	0.00702071	
15.299999	0.01249480	
15.320000	0.01613110	
15.339999	0.02172844	
15.360000	0.02497268	
15.380000	0.02774900	
15.400000	0.02789831	
15.420000	0.02531463	
15.440000	0.02265580	
15.460000	0.01738214	
15.480000	0.01272741	
15.500000	0.00405276	
15.520000	-0.00214064	
15.540000	-0.00675781	
15.559999	-0.00737216	
15.580000	-0.00790845	
15.599999	-0.00808993	
15.620000	-0.00799039	
15.639999	-0.00783499	
15.660000	-0.00773832	
15.679999	-0.00772968	
15.700000	-0.00739551	
15.719999	-0.00696467	
15.740000	-0.00508608	
15.759999	-0.00179885	
15.780000	0.00423491	
15.799999	0.00939141	
15.820000	0.01524505	
15.839999	0.01874423	
15.860000	0.02340508	
15.880000	0.02567877	
15.900000	0.02586651	
15.920000	0.02195208	
15.940000	0.01359755	
15.960000	0.00364207	
15.980000	-0.00432734	
16.000000	-0.00785665	
16.020000	-0.00809163	
16.039999	-0.00809163	
16.059999	-0.00809163	
16.080000	-0.00809163	
16.100000	-0.00794552	
16.119999	-0.00779943	
16.139999	-0.00737402	
16.160000	-0.00709468	
16.180000	-0.00389870	
16.199999	-0.00027560	
16.219999	0.00611569	
16.240000	0.00981379	
16.260000	0.01489225	
16.279999	0.01718594	
16.299999	0.01996040	
16.320000	0.02064821	
16.340000	0.02153495	
16.359999	0.02171135	
16.379999	0.02054021	
16.400000	0.01918675	
16.420000	0.01491156	
16.440001	0.01040308	
16.459999	0.00239103	
16.480000	-0.00269353	
16.500000	-0.00668247	
16.520000	-0.00716799	
16.539999	-0.00779943	
16.559999	-0.00794536	
16.580000	-0.00794552	
16.600000	-0.00779943	
16.619999	-0.00765334	
16.639999	-0.00765334	
16.660000	-0.00765334	
16.680000	-0.00765334	
16.699999	-0.00683144	
16.719999	-0.00600971	
16.740000	-0.00320597	
16.760000	-0.00017877	
16.779999	0.00570957	
16.799999	0.00995311	
16.820000	0.01556823	
16.840000	0.01832236	
16.859999	0.02151294	
16.879999	0.02229217	
16.900000	0.02156711	
16.920000	0.01945625	
16.940001	0.01410405	
16.959999	0.00935383	
16.980000	0.00171252	
17.000000	-0.00277428	
17.020000	-0.00663033	
17.039999	-0.00698295	
17.059999	-0.00739838	
17.080000	-0.00754194	
17.100000	-0.00782076	
17.119999	-0.00795619	
17.139999	-0.00794552	
17.160000	-0.00779943	
17.180000	-0.00751774	
17.199999	-0.00738196	
17.219999	-0.00511149	
17.240000	-0.00253254	
17.260000	0.00239848	
17.279999	0.00528704	
17.299999	0.00910735	
17.320000	0.01057576	
17.340000	0.01267594	
17.359999	0.01341471	
17.379999	0.01461412	
17.400000	0.01508930	
17.420000	0.01555875	
17.440001	0.01558582	
17.459999	0.01590358	
17.480000	0.01621236	
17.500000	0.01610436	
17.520000	0.01480931	
17.539999	0.00858358	
17.559999	0.00134736	
17.580000	-0.00588445	
17.600000	-0.00803034	
17.619999	-0.00859372	
17.639999	-0.00826497	
17.660000	-0.00794552	
17.680000	-0.00779943	
17.699999	-0.00737402	
17.719999	-0.00709468	
17.740000	-0.00384690	
17.760000	0.00069712	
17.779999	0.00837027	
17.799999	0.01341708	
17.820000	0.01749268	
17.840000	0.01840329	
17.859999	0.01522203	
17.879999	0.00700802	
17.900000	-0.00249411	
17.920000	-0.00824703	
17.940001	-0.00907789	
17.959999	-0.00858459	
17.980000	-0.00780992	
18.000000	-0.00752807	
18.020000	-0.00528178	
18.039999	-0.00199319	
18.059999	0.00380626	
18.080000	0.00811465	
18.100000	0.01243369	
18.119999	0.01424168	
18.139999	0.01425201	
18.160000	0.01080023	
18.180000	0.00269167	
18.199999	-0.00409220	
18.219999	-0.00870343	
18.240000	-0.00865772	
18.260000	-0.00861201	
18.279999	-0.00861201	
18.299999	-0.00861201	
18.320000	-0.00861201	
18.340000	-0.00786072	
18.359999	-0.00710942	
18.379999	-0.00354218	
18.400000	0.00084949	
18.420000	0.00856969	
18.440001	0.01362294	
18.459999	0.01919250	
18.480000	0.02143387	
18.500000	0.02406935	
18.520000	0.02445109	
18.539999	0.02192719	
18.559999	0.01490462	
18.580000	0.00349055	
18.600000	-0.00501770	
18.619999	-0.00925125	
18.639999	-0.00893162	
18.660000	-0.00876725	
18.680000	-0.00892249	
18.699999	-0.00860287	
18.719999	-0.00812820	
18.740000	-0.00727142	
18.760000	-0.00688951	
18.779999	-0.00424168	
18.799999	-0.00133128	
18.820000	0.00452743	
18.840000	0.00873323	
18.859999	0.01419039	
18.879999	0.01669924	
18.900000	0.01862201	
18.920000	0.01864892	
18.939999	0.01752672	
18.959999	0.01376717	
18.980000	0.00521880	
19.000000	-0.00208496	
19.020000	-0.00724772	
19.039999	-0.00762202	
19.059999	-0.00809163	
19.080000	-0.00809163	
19.100000	-0.00809163	
19.119999	-0.00809163	
19.139999	-0.00719778	
19.160000	-0.00504291	
19.180000	0.00026239	
19.199999	0.00561443	
19.219999	0.01224798	
19.240000	0.01587632	
19.260000	0.02011107	
19.279999	0.02180293	
19.299999	0.02275179	
19.320000	0.02179396	
19.340000	0.01652318	
19.359999	0.00657108	
19.379999	-0.00360905	
19.400000	-0.00931185	
19.420000	-0.00914171	
19.439999	-0.00838381	
19.459999	-0.00789085	
19.480000	-0.00799124	
19.500000	-0.00747271	
19.520000	-0.00685413	
19.539999	-0.00405987	
19.559999	-0.00017047	
19.580000	0.00587209	
19.600000	0.00979348	
19.619999	0.01449832	
19.639999	0.01705000	
19.660000	0.02043135	
19.680000	0.02131470	
19.699999	0.02099694	
19.719999	0.01906046	
19.740000	0.01432040	
19.760000	0.00943932	
19.779999	0.00160789	
19.799999	-0.00341979	
19.820000	-0.00733373	
19.840000	-0.00756192	
19.859999	-0.00779030	
19.879999	-0.00779030	
19.900000	-0.00770293	
19.920000	-0.00761542	
19.939999	-0.00703849	
19.959999	-0.00654890	
19.980000	-0.00382523	
20.000000	-0.00016150	
20.020000	0.00651251	
20.039999	0.01159994	
20.059999	0.01702663	
20.080000	0.01944289	
20.100000	0.01970901	
20.119999	0.01816848	
20.139999	0.01395914	
20.160000	0.00802594	
20.180000	-0.00002201	
20.199999	-0.00544497	
20.219999	-0.00758918	
20.240000	-0.00758055	
20.260000	-0.00752807	
