Time	Hip_Knee_Angle_right X
9.860000	107.74067688	
9.880000	107.14720917	
9.900000	106.57946014	
9.920000	106.02354431	
9.940000	105.41525269	
9.960000	104.78394318	
9.980000	104.14901733	
10.000000	103.53598022	
10.020000	102.89662170	
10.040000	102.28337860	
10.059999	101.68734741	
10.080000	101.14054108	
10.099999	100.56903839	
10.120000	100.01335907	
10.139999	99.42034149	
10.160000	98.84276581	
10.179999	98.26961517	
10.200000	97.77595520	
10.219999	97.36785126	
10.240000	97.08124542	
10.260000	96.92695618	
10.280000	96.91860962	
10.300000	97.10236359	
10.320000	97.51060486	
10.340000	98.22016144	
10.360000	99.21871948	
10.380000	100.52400970	
10.400000	102.04795837	
10.420000	103.73841858	
10.440000	105.46069336	
10.460000	107.13195801	
10.480000	108.59839630	
10.500000	109.81539154	
10.520000	110.72667694	
10.540000	111.37926483	
10.559999	111.78345490	
10.580000	112.02422333	
10.599999	112.13322449	
10.620000	112.15161896	
10.639999	112.06690216	
10.660000	111.89553070	
10.679999	111.66195679	
10.700000	111.34641266	
10.719999	110.95225525	
10.740000	110.42755890	
10.760000	109.82064056	
10.780000	109.14957428	
10.800000	108.54398346	
10.820000	108.02017212	
10.840000	107.62567902	
10.860000	107.27043152	
10.880000	106.92611694	
10.900000	106.47261810	
10.920000	105.88483429	
10.940000	105.14413452	
10.960000	104.29626465	
10.980000	103.32863617	
11.000000	102.27017212	
11.020000	101.13426971	
11.040000	100.01643372	
11.059999	98.96263885	
11.080000	98.00652313	
11.099999	97.14467621	
11.120000	96.40621948	
11.139999	95.80757141	
11.160000	95.34038544	
11.179999	95.02184296	
11.200000	94.85689545	
11.219999	94.87147522	
11.240000	94.99969482	
11.259999	95.25263977	
11.280000	95.60070038	
11.300000	96.06871796	
11.320000	96.61716461	
11.340000	97.26484680	
11.360000	97.99962616	
11.380000	98.85621643	
11.400000	99.85143280	
11.420000	101.04373932	
11.440000	102.45158386	
11.460000	104.07971954	
11.480000	105.88418579	
11.500000	107.81787109	
11.520000	109.76376343	
11.540000	111.62083435	
11.559999	113.27254486	
11.580000	114.68607330	
11.599999	115.79535675	
11.620000	116.59825134	
11.639999	117.09626007	
11.660000	117.34323883	
11.679999	117.35768127	
11.700000	117.18730164	
11.719999	116.87808228	
11.740000	116.46237183	
11.759999	115.95608521	
11.780000	115.38105774	
11.800000	114.78186035	
11.820000	114.15422058	
11.840000	113.50199127	
11.860000	112.78955841	
11.880000	112.03397369	
11.900000	111.19813538	
11.920000	110.32881165	
11.940000	109.39684296	
11.960000	108.48798370	
11.980000	107.56900024	
12.000000	106.69734192	
12.020000	105.81959534	
12.040000	105.00376129	
12.059999	104.21440125	
12.080000	103.47386932	
12.099999	102.71559906	
12.120000	101.97376251	
12.139999	101.22640228	
12.160000	100.51371002	
12.179999	99.82755280	
12.200000	99.22351074	
12.219999	98.70363617	
12.240000	98.28182220	
12.259999	97.91893768	
12.280000	97.62322998	
12.300000	97.36716461	
12.320000	97.13143921	
12.340000	96.88931274	
12.360000	96.64572144	
12.380000	96.39729309	
12.400000	96.15335083	
12.420000	95.91401672	
12.440000	95.70374298	
12.460000	95.52987671	
12.480000	95.40573883	
12.500000	95.37030792	
12.520000	95.45307922	
12.540000	95.70965576	
12.559999	96.14376831	
12.580000	96.81929016	
12.599999	97.69150543	
12.620000	98.77310181	
12.639999	99.98358154	
12.660000	101.37329102	
12.679999	102.90090942	
12.700000	104.60492706	
12.719999	106.43455505	
12.740000	108.38094330	
12.759999	110.27604675	
12.780000	111.99661255	
12.799999	113.39270020	
12.820000	114.43910217	
12.840000	115.10294342	
12.860000	115.44454193	
12.880000	115.51341248	
12.900000	115.40338135	
12.920000	115.14469147	
12.940000	114.78130341	
12.960000	114.33915710	
12.980000	113.86431885	
13.000000	113.36405182	
13.020000	112.81599426	
13.040000	112.19330597	
13.059999	111.47758484	
13.080000	110.68740845	
13.099999	109.81506348	
13.120000	108.90412140	
13.139999	107.94201660	
13.160000	107.00235748	
13.179999	106.07021332	
13.200000	105.20497131	
13.219999	104.37647247	
13.240000	103.64617920	
13.259999	102.97386932	
13.280000	102.37171936	
13.299999	101.76734161	
13.320000	101.18474579	
13.340000	100.56771088	
13.360000	99.96197510	
13.380000	99.33058929	
13.400000	98.74245453	
13.420000	98.16776276	
13.440000	97.67045593	
13.460000	97.19167328	
13.480000	96.77380371	
13.500000	96.36834717	
13.520000	96.02737427	
13.540000	95.71076965	
13.559999	95.45858002	
13.580000	95.25243378	
13.599999	95.15141296	
13.620000	95.17089844	
13.639999	95.36712646	
13.660000	95.76051331	
13.679999	96.39268494	
13.700000	97.28336334	
13.719999	98.44692993	
13.740000	99.90612793	
13.759999	101.64141846	
13.780000	103.58715820	
13.799999	105.58711243	
13.820000	107.51895142	
13.840000	109.23096466	
13.860000	110.65304565	
13.880000	111.71767426	
13.900000	112.46968079	
13.920000	112.91373444	
