Time	Paced_left_y_baseline X
11.980000	-0.00989810	
12.000000	-0.00688647	
12.020000	-0.00079142	
12.040000	0.00626828	
12.059999	0.01482144	
12.080000	0.02037524	
12.099999	0.02537046	
12.120000	0.02686426	
12.139999	0.02748740	
12.160000	0.02649148	
12.179999	0.02149659	
12.200000	0.01243851	
12.219999	-0.00063387	
12.240000	-0.00973634	
12.259999	-0.01338542	
12.280000	-0.01282094	
12.300000	-0.01213761	
12.320000	-0.01206951	
12.340000	-0.01152539	
12.360000	-0.01102719	
12.380000	-0.00810938	
12.400000	-0.00271599	
12.420000	0.00584422	
12.440000	0.01348267	
12.460000	0.02133702	
12.480000	0.02598116	
12.500000	0.03024143	
12.520000	0.03134580	
12.540000	0.03135605	
12.559999	0.02935430	
12.580000	0.02288395	
12.599999	0.01328678	
12.620000	-0.00014506	
12.639999	-0.00910816	
12.660000	-0.01373364	
12.679999	-0.01361711	
12.700000	-0.01345234	
12.719999	-0.01340424	
12.740000	-0.01333429	
12.759999	-0.01331243	
12.780000	-0.01324382	
12.799999	-0.01319708	
12.820000	-0.01289611	
12.840000	-0.01264188	
12.860000	-0.01143208	
12.880000	-0.01046020	
12.900000	-0.00691320	
12.920000	-0.00321841	
12.940000	0.00259854	
12.960000	0.00847551	
12.980000	0.01605125	
13.000000	0.02201784	
13.020000	0.02753952	
13.040000	0.03025959	
13.059999	0.03149511	
13.080000	0.03054005	
13.099999	0.02732699	
13.120000	0.02409206	
13.139999	0.01689012	
13.160000	0.00707705	
13.179999	-0.00448218	
13.200000	-0.01208498	
13.219999	-0.01430583	
13.240000	-0.01380359	
13.259999	-0.01363258	
13.280000	-0.01397458	
13.299999	-0.01413533	
13.320000	-0.01395407	
13.340000	-0.01388042	
13.360000	-0.01398838	
13.380000	-0.01398838	
13.400000	-0.01388042	
13.420000	-0.01300541	
13.440000	-0.01223850	
13.460000	-0.01051536	
13.480000	-0.00953272	
13.500000	-0.00454187	
13.520000	0.00141194	
13.540000	0.01065265	
13.559999	0.01794960	
13.580000	0.02552582	
13.599999	0.02982914	
13.620000	0.03128543	
13.639999	0.03048474	
13.660000	0.02670957	
13.679999	0.01997909	
13.700000	0.00796704	
13.719999	-0.00323792	
13.740000	-0.01109125	
13.759999	-0.01360433	
13.780000	-0.01360029	
13.799999	-0.01321021	
13.820000	-0.01313773	
13.840000	-0.01345518	
13.860000	-0.01207556	
13.880000	-0.01027843	
13.900000	-0.00473170	
13.920000	0.00025848	
13.940000	0.00779536	
13.960000	0.01371589	
13.980000	0.02214849	
14.000000	0.02985957	
14.020000	0.03786357	
14.040000	0.04219833	
14.059999	0.04415721	
14.080000	0.04308444	
14.099999	0.03927800	
14.120000	0.03395221	
14.139999	0.02438346	
14.160000	0.01286122	
14.179999	-0.00089028	
14.200000	-0.00979234	
14.219999	-0.01367261	
14.240000	-0.01335481	
14.259999	-0.01319154	
14.280000	-0.01334606	
14.299999	-0.01334606	
14.320000	-0.01319170	
14.340000	-0.01142737	
14.360000	-0.00981772	
14.380000	-0.00536259	
14.400000	-0.00085329	
14.420000	0.00674547	
14.440000	0.01413256	
14.460000	0.02332382	
14.480000	0.03163047	
14.500000	0.04028048	
14.520000	0.04584639	
14.540000	0.04987209	
14.559999	0.05092064	
14.580000	0.04976834	
14.599999	0.04654081	
14.620000	0.03981034	
14.639999	0.03104231	
14.660000	0.01726206	
14.679999	0.00258559	
14.700000	-0.00878128	
14.719999	-0.01377214	
14.740000	-0.01389690	
14.759999	-0.01349638	
14.780000	-0.01346527	
14.799999	-0.01393171	
14.820000	-0.01325947	
14.839999	-0.01217107	
14.860000	-0.00989944	
14.880000	-0.00692245	
14.900000	-0.00127482	
14.920000	0.00473784	
14.940000	0.01220898	
14.960000	0.01826100	
14.980000	0.02534357	
15.000000	0.02914278	
15.020000	0.03376825	
15.040000	0.03584601	
15.059999	0.03811041	
15.080000	0.03829704	
15.099999	0.03853700	
15.120000	0.03853716	
15.139999	0.03654163	
15.160000	0.03222016	
15.179999	0.02204053	
15.200000	0.00716735	
15.219999	-0.00606592	
15.240000	-0.01340659	
15.259999	-0.01324147	
15.280000	-0.01244986	
15.299999	-0.01211390	
15.320000	-0.01262136	
15.339999	-0.01261565	
15.360000	-0.01214114	
15.380000	-0.01129319	
15.400000	-0.01094799	
15.420000	-0.00893110	
15.440000	-0.00720695	
15.460000	-0.00330198	
15.480000	0.00091021	
15.500000	0.00729094	
15.520000	0.01258680	
15.540000	0.01903950	
15.559999	0.02424204	
15.580000	0.03021571	
15.599999	0.03312393	
15.620000	0.03471793	
15.639999	0.03442940	
15.660000	0.03204612	
15.679999	0.02981654	
15.700000	0.02419952	
15.719999	0.01697418	
15.740000	0.00321412	
15.759999	-0.00717719	
15.780000	-0.01392128	
15.799999	-0.01382090	
15.820000	-0.01347587	
15.839999	-0.01315857	
15.860000	-0.01286332	
15.880000	-0.01263481	
15.900000	-0.01120172	
15.920000	-0.00984126	
15.940000	-0.00536425	
15.960000	-0.00207284	
15.980000	0.00344312	
16.000000	0.00688134	
16.020000	0.01338498	
16.039999	0.01766409	
16.059999	0.02176428	
16.080000	0.02279921	
16.100000	0.02198286	
16.119999	0.01751091	
16.139999	0.00970045	
16.160000	-0.00004670	
16.180000	-0.00785632	
16.199999	-0.01232745	
16.219999	-0.01261531	
16.240000	-0.01219361	
16.260000	-0.01195164	
16.279999	-0.01213139	
16.299999	-0.01175138	
16.320000	-0.01119146	
16.340000	-0.00946580	
16.359999	-0.00693019	
16.379999	-0.00187191	
16.400000	0.00330693	
16.420000	0.00972684	
16.440001	0.01498689	
16.459999	0.02224669	
16.480000	0.02689603	
16.500000	0.03155009	
16.520000	0.03291778	
16.539999	0.03320396	
16.559999	0.03073190	
16.580000	0.02408820	
16.600000	0.01531209	
16.619999	0.00272264	
16.639999	-0.00584498	
16.660000	-0.01165824	
16.680000	-0.01226759	
16.699999	-0.01244850	
16.719999	-0.01208195	
16.740000	-0.01175037	
16.760000	-0.01169725	
16.779999	-0.01164512	
16.799999	-0.01146638	
16.820000	-0.01054007	
16.840000	-0.00970036	
16.859999	-0.00712943	
16.879999	-0.00414437	
16.900000	0.00115670	
16.920000	0.00563018	
16.940001	0.01199561	
16.959999	0.01617415	
16.980000	0.02142160	
17.000000	0.02361538	
17.020000	0.02673647	
17.039999	0.02779275	
17.059999	0.02779275	
17.080000	0.02612409	
17.100000	0.02129263	
17.119999	0.01557876	
17.139999	0.00605357	
17.160000	-0.00273113	
17.180000	-0.00977434	
17.199999	-0.01244044	
17.219999	-0.01212449	
17.240000	-0.01161149	
17.260000	-0.01124965	
17.279999	-0.01145360	
17.299999	-0.00987388	
17.320000	-0.00349887	
17.340000	0.00870906	
17.359999	0.02377041	
17.379999	0.03852791	
17.400000	0.04878974	
17.420000	0.05582018	
17.440001	0.05858026	
17.459999	0.05850662	
17.480000	0.05597202	
17.500000	0.05048211	
17.520000	0.04572128	
17.539999	0.03975721	
17.559999	0.03643133	
17.580000	0.03142853	
17.600000	0.02684072	
17.619999	0.01933241	
17.639999	0.01007338	
17.660000	-0.00105573	
17.680000	-0.00897112	
