Time	Left_Forefoot_y_baseline X
12.059999	-0.00968044	
12.080000	-0.00709878	
12.099999	-0.00105292	
12.120000	0.00552694	
12.139999	0.01542786	
12.160000	0.02186456	
12.179999	0.02558330	
12.200000	0.02613688	
12.219999	0.02379797	
12.240000	0.01919897	
12.259999	0.00924319	
12.280000	0.00101106	
12.300000	-0.00617044	
12.320000	-0.00809601	
12.340000	-0.00886738	
12.360000	-0.00878736	
12.380000	-0.00786294	
12.400000	-0.00690159	
12.420000	-0.00513588	
12.440000	-0.00244015	
12.460000	0.00325693	
12.480000	0.01051782	
12.500000	0.01803736	
12.520000	0.02253366	
12.540000	0.02399412	
12.559999	0.02189365	
12.580000	0.01394305	
12.599999	0.00220215	
12.620000	-0.00760698	
12.639999	-0.01204222	
12.660000	-0.01254465	
12.679999	-0.01354022	
12.700000	-0.01391086	
12.719999	-0.01383723	
12.740000	-0.01137809	
12.759999	-0.00906745	
12.780000	-0.00297971	
12.799999	0.00331283	
12.820000	0.01331419	
12.840000	0.01961827	
12.860000	0.02414241	
12.880000	0.02495836	
12.900000	0.02289006	
12.920000	0.01641086	
12.940000	0.00485064	
12.960000	-0.00447525	
12.980000	-0.00987224	
13.000000	-0.01012985	
13.020000	-0.00992629	
13.040000	-0.01005642	
13.059999	-0.00951749	
13.080000	-0.00879025	
13.099999	-0.00669019	
13.120000	-0.00486712	
13.139999	0.00045975	
13.160000	0.00710270	
13.179999	0.01496585	
13.200000	0.01955475	
13.219999	0.01991776	
13.240000	0.01508404	
13.259999	0.00488631	
13.280000	-0.00505440	
13.299999	-0.01141006	
13.320000	-0.01263189	
13.340000	-0.01333521	
13.360000	-0.01408102	
13.380000	-0.01408102	
13.400000	-0.01331851	
13.420000	-0.01091547	
13.440000	-0.00655922	
13.460000	0.00147636	
13.480000	0.01102686	
13.500000	0.02101028	
13.520000	0.02749401	
13.540000	0.02949671	
13.559999	0.02813587	
13.580000	0.02278322	
13.599999	0.01461893	
13.620000	0.00329715	
13.639999	-0.00405800	
13.660000	-0.00796586	
