Time	Knöchel re X	Knöchel re Y	Knöchel re Weg	Knöchel re v(X)	Knöchel re v(Y)	Knöchel re v(Bahn)	Knöchel re a(X)	Knöchel re a(Y)	Knöchel re a(Bahn)
1.640000	-0.78167146	-0.51474869	0.53067392	0.34186032	-0.23160817	0.41292956	-5.80010271	0.68557447	-4.33696222	
1.660000	-0.77611321	-0.51919425	0.53779131	0.18839878	-0.20096765	0.27546707	-6.44622612	1.18612623	-3.82346082	
1.680000	-0.77445352	-0.52270550	0.54167503	0.03527004	-0.16825119	0.17190823	-6.05319118	1.32151711	-2.53067946	
1.700000	-0.77607775	-0.52553791	0.54494011	-0.08826426	-0.14037931	0.16582198	-4.87886047	1.22186720	-1.03529584	
1.720000	-0.77990967	-0.52791506	0.54944950	-0.16891080	-0.11947349	0.20689315	-3.32826018	1.05184114	0.24282190	
1.740000	-0.78473085	-0.53012735	0.55475402	-0.20990959	-0.10318355	0.23389930	-1.84424806	0.92164028	0.68555039	
1.760000	-0.78936136	-0.53210044	0.55978739	-0.22324762	-0.08761929	0.23982626	-0.75782591	0.86248046	0.31895396	
1.780000	-0.79371327	-0.53383952	0.56447393	-0.22035754	-0.07030290	0.23130055	-0.15012598	0.84972143	-0.11725806	
1.800000	-0.79788214	-0.53507161	0.56882107	-0.21349904	-0.05193698	0.21972549	0.09299910	0.82304198	-0.28502601	
1.820000	-0.80221504	-0.53586137	0.57322538	-0.21020240	-0.03405609	0.21294333	0.11282857	0.72807872	-0.24743207	
1.840000	-0.80634052	-0.53621233	0.57736576	-0.21057443	-0.01909086	0.21143806	0.01503986	0.55739707	-0.09848589	
1.860000	-0.81053454	-0.53642327	0.58156508	-0.21155742	-0.00915750	0.21175553	-0.10374569	0.33911604	0.06299376	
1.880000	-0.81468683	-0.53642356	0.58571738	-0.21348786	-0.00548983	0.21355844	-0.19579162	0.10844682	0.18504590	
1.900000	-0.81905645	-0.53646827	0.59008723	-0.21830912	-0.00680039	0.21841501	-0.27202338	-0.09232899	0.27869383	
1.920000	-0.82339108	-0.53649366	0.59442192	-0.22552328	-0.01174683	0.22582901	-0.33598331	-0.22036771	0.35156259	
