Time	Paced_right_y_velocity X
7.480000	0.01564584	
7.500000	-0.01319634	
7.520000	-0.04234362	
7.540000	-0.09094088	
7.560000	-0.17917441	
7.580000	-0.27009770	
7.600000	-0.32200333	
7.620000	-0.31844732	
7.640000	-0.26300552	
7.660000	-0.17058675	
7.680000	-0.07219628	
7.700000	-0.01304577	
7.720000	0.00160498	
7.740000	-0.00304847	
7.760000	-0.00192684	
7.780000	0.00091195	
7.800000	0.00304890	
7.820000	0.00354548	
7.840000	0.00379234	
7.860000	0.00315544	
7.880000	0.00344639	
7.900000	0.00517933	
7.920000	0.00910547	
7.940000	0.01159111	
7.960000	0.02207904	
7.980000	0.04606953	
8.000000	0.09045491	
8.020000	0.14019448	
8.040000	0.19073559	
8.059999	0.22422129	
8.080000	0.23140769	
8.099999	0.20925556	
8.120000	0.16545846	
8.139999	0.11697910	
8.160000	0.05496459	
8.179999	-0.00814510	
8.200000	-0.07915693	
8.220000	-0.13445480	
8.240000	-0.19129768	
8.260000	-0.23164405	
8.280000	-0.24471249	
8.300000	-0.22245201	
8.320000	-0.17947479	
8.340000	-0.13062179	
8.360000	-0.07243327	
8.380000	-0.02767095	
8.400000	-0.00323399	
8.420000	-0.00236419	
8.440000	-0.00067906	
8.460000	-0.00144752	
8.480000	-0.00119625	
8.500000	0.00063914	
8.520000	0.00454398	
8.540000	0.00768328	
8.559999	0.00857959	
8.580000	0.00613431	
8.599999	0.00908139	
8.620000	0.01740753	
8.639999	0.03976541	
8.660000	0.07083252	
8.679999	0.11274593	
8.700000	0.14822738	
8.720000	0.17540646	
8.740000	0.18792655	
8.760000	0.18563400	
8.780000	0.16779347	
8.800000	0.13196947	
8.820000	0.09251811	
8.840000	0.04194185	
8.860000	-0.00530165	
8.880000	-0.06298662	
8.900000	-0.13109906	
8.920000	-0.20478043	
8.940000	-0.24934116	
8.960000	-0.25192955	
8.980000	-0.21664988	
9.000000	-0.15198930	
9.020000	-0.07938094	
9.040000	-0.02238632	
9.059999	-0.00071724	
9.080000	-0.00005377	
9.099999	-0.00329669	
9.120000	-0.00265607	
9.139999	0.00007668	
9.160000	0.00228013	
9.179999	0.00331215	
9.200000	0.00610488	
9.220000	0.00782646	
9.240000	0.01257974	
9.260000	0.02366471	
9.280000	0.05583823	
9.300000	0.10383020	
9.320000	0.16431728	
9.340000	0.21343818	
9.360000	0.23780225	
9.380000	0.22866978	
9.400000	0.18829280	
9.420000	0.13130221	
9.440000	0.07263084	
9.460000	0.03176013	
9.480000	0.00362142	
9.500000	-0.00722259	
9.520000	-0.01973012	
9.540000	-0.02935944	
9.559999	-0.05436221	
9.580000	-0.09560712	
9.599999	-0.16040151	
9.620000	-0.22291744	
9.639999	-0.25351396	
9.660000	-0.24148415	
9.679999	-0.19556655	
