Time	Knee_Angle_right X
11.420000	148.18377686	
11.440000	145.33848572	
11.460000	142.24397278	
11.480000	139.02043152	
11.500000	135.71199036	
11.520000	132.53910828	
11.540000	129.67938232	
11.559999	127.34123230	
11.580000	125.61926270	
11.599999	124.62076569	
11.620000	124.37351227	
11.639999	124.82099152	
11.660000	125.87774658	
11.679999	127.42800903	
11.700000	129.39709473	
11.719999	131.61956787	
11.740000	134.01641846	
11.759999	136.43031311	
11.780000	138.69755554	
11.800000	140.59118652	
11.820000	142.10969543	
11.840000	143.31205750	
11.860000	144.36515808	
11.880000	145.35546875	
11.900000	146.44564819	
11.920000	147.62429810	
11.940000	148.87393188	
11.960000	150.05047607	
11.980000	151.19645691	
12.000000	152.27587891	
12.020000	153.34022522	
12.040000	154.31550598	
12.059999	155.22265625	
12.080000	156.08316040	
12.099999	156.97177124	
12.120000	157.87677002	
12.139999	158.78657532	
12.160000	159.66362000	
12.179999	160.48315430	
12.200000	161.19569397	
12.219999	161.77116394	
12.240000	162.20899963	
12.259999	162.55595398	
12.280000	162.81225586	
12.300000	162.99781799	
12.320000	163.13195801	
12.340000	163.25128174	
12.360000	163.34680176	
12.380000	163.41870117	
12.400000	163.46116638	
12.420000	163.48120117	
12.440000	163.44369507	
12.460000	163.32691956	
12.480000	163.12515259	
12.500000	162.76026917	
12.520000	162.19021606	
12.540000	161.31352234	
12.559999	160.14407349	
12.580000	158.54057312	
12.599999	156.59255981	
12.620000	154.26376343	
12.639999	151.71777344	
12.660000	148.85264587	
12.679999	145.78964233	
12.700000	142.50502014	
12.719999	139.15980530	
12.740000	135.80149841	
12.759999	132.74220276	
12.780000	130.19160461	
12.799999	128.36550903	
12.820000	127.31861115	
12.840000	127.10006714	
12.860000	127.65914917	
12.880000	128.88145447	
12.900000	130.60830688	
12.920000	132.67315674	
12.940000	134.95866394	
12.960000	137.24145508	
12.980000	139.32286072	
13.000000	141.01347351	
13.020000	142.36911011	
13.040000	143.47534180	
13.059999	144.48486328	
13.080000	145.48278809	
13.099999	146.59338379	
13.120000	147.80267334	
13.139999	149.06233215	
13.160000	150.27696228	
13.179999	151.46260071	
13.200000	152.58770752	
13.219999	153.64935303	
13.240000	154.57438660	
13.259999	155.40170288	
13.280000	156.14178467	
13.299999	156.85897827	
13.320000	157.53132629	
13.340000	158.21299744	
13.360000	158.84780884	
13.380000	159.45799255	
13.400000	159.99676514	
13.420000	160.50021362	
13.440000	160.92201233	
13.460000	161.30401611	
13.480000	161.63320923	
