Time	Step_Length_1 X
19.400000	-0.12669703	
19.420000	-0.11827663	
19.439999	-0.10934457	
19.459999	-0.09859100	
19.480000	-0.08639839	
19.500000	-0.07023472	
19.520000	-0.05158558	
19.539999	-0.02947769	
19.559999	-0.00649565	
19.580000	0.01881120	
19.600000	0.04095915	
19.619999	0.06153139	
19.639999	0.07763118	
19.660000	0.09327164	
19.680000	0.10562864	
19.699999	0.11590505	
19.719999	0.12308979	
19.740000	0.12883919	
19.760000	0.13272145	
19.779999	0.13550720	
19.799999	0.13625371	
19.820000	0.13451505	
19.840000	0.13106465	
19.859999	0.12577054	
19.879999	0.11889336	
19.900000	0.10957098	
19.920000	0.09796527	
19.939999	0.08291027	
19.959999	0.06443080	
19.980000	0.04245722	
20.000000	0.02003288	
20.020000	-0.00616899	
20.039999	-0.02989373	
20.059999	-0.05429792	
20.080000	-0.07413149	
20.100000	-0.09365863	
20.119999	-0.10858473	
20.139999	-0.11871752	
20.160000	-0.12326017	
20.180000	-0.12456691	
20.199999	-0.12432545	
20.219999	-0.12444586	
20.240000	-0.12423435	
20.260000	-0.12394696	
20.279999	-0.12295192	
20.299999	-0.12157077	
20.320000	-0.11965549	
20.340000	-0.11518157	
20.359999	-0.11066023	
20.379999	-0.10340223	
20.400000	-0.09640974	
20.420000	-0.08748952	
20.439999	-0.07791361	
20.459999	-0.06583980	
20.480000	-0.05052018	
20.500000	-0.03184348	
20.520000	-0.01142910	
20.539999	0.00958651	
20.559999	0.02818704	
20.580000	0.04512417	
20.600000	0.06033728	
20.619999	0.07495400	
20.639999	0.08761752	
20.660000	0.09919050	
20.680000	0.10882434	
20.699999	0.11778593	
20.719999	0.12479970	
20.740000	0.13079116	
20.760000	0.13533586	
20.779999	0.13843417	
20.799999	0.14037141	
20.820000	0.14053765	
20.840000	0.13902971	
20.859999	0.13622093	
20.879999	0.13195622	
20.900000	0.12627757	
20.920000	0.11891860	
20.939999	0.10984856	
20.959999	0.09860513	
20.980000	0.08412895	
21.000000	0.06640720	
21.020000	0.04651162	
21.039999	0.02408656	
21.059999	0.00414887	
21.080000	-0.01528579	
21.100000	-0.03231576	
21.119999	-0.05153120	
21.139999	-0.06733298	
21.160000	-0.07768652	
21.180000	-0.08075863	
21.199999	-0.08073825	
21.219999	-0.08026692	
21.240000	-0.07944924	
21.260000	-0.07832825	
21.279999	-0.07712698	
21.299999	-0.07562587	
21.320000	-0.07424098	
21.340000	-0.07021737	
21.359999	-0.06590852	
21.379999	-0.05966178	
21.400000	-0.05308554	
21.420000	-0.04512510	
21.439999	-0.03646162	
21.459999	-0.02640814	
21.480000	-0.01445282	
21.500000	-0.00040677	
21.520000	0.01378331	
21.539999	0.02917677	
21.559999	0.04571015	
21.580000	0.06515473	
21.600000	0.08501652	
21.619999	0.10543415	
21.639999	0.12409130	
21.660000	0.14163846	
21.680000	0.15515032	
21.699999	0.16333783	
21.719999	0.16589427	
21.740000	0.16637951	
21.760000	0.16650602	
21.779999	0.16709268	
21.799999	0.16659826	
