Time	Right_Heel_y_baseline X
13.980000	0.01763831	
14.000000	0.00770850	
14.020000	-0.00459988	
14.040000	-0.01260747	
14.059999	-0.01785675	
14.080000	-0.01817113	
14.099999	-0.01504277	
14.120000	-0.01081634	
14.139999	-0.00500406	
14.160000	-0.00159584	
14.179999	0.00421502	
14.200000	0.00948833	
14.219999	0.01627436	
14.240000	0.01981902	
14.259999	0.02278115	
14.280000	0.02339286	
14.299999	0.02339286	
14.320000	0.02260712	
14.340000	0.01773056	
14.360000	0.01043557	
14.380000	-0.00008333	
14.400000	-0.00798613	
14.420000	-0.01434743	
14.440000	-0.01743039	
14.460000	-0.01779716	
14.480000	-0.01676875	
14.500000	-0.01290521	
14.520000	-0.00970718	
14.540000	-0.00362387	
14.559999	0.00097343	
14.580000	0.00826164	
14.599999	0.01264463	
14.620000	0.01676320	
14.639999	0.01761407	
14.660000	0.01656923	
14.679999	0.01435913	
14.700000	0.00885300	
14.719999	0.00416899	
14.740000	-0.00411455	
14.759999	-0.00971951	
14.780000	-0.01541077	
14.799999	-0.01718876	
14.820000	-0.01661485	
14.839999	-0.01392230	
14.860000	-0.00807735	
14.880000	-0.00179967	
14.900000	0.00684510	
14.920000	0.01418406	
14.940000	0.02224712	
14.960000	0.02698539	
14.980000	0.03175612	
15.000000	0.03337526	
15.020000	0.03299925	
15.040000	0.02870193	
15.059999	0.02064565	
15.080000	0.01071399	
15.099999	-0.00116517	
15.120000	-0.00992294	
15.139999	-0.01515968	
15.160000	-0.01640651	
15.179999	-0.01373100	
15.200000	-0.00934370	
15.219999	-0.00094119	
15.240000	0.00752768	
15.259999	0.01811501	
15.280000	0.02661513	
15.299999	0.03444250	
15.320000	0.03878996	
15.339999	0.03931022	
15.360000	0.03507043	
15.380000	0.02642691	
15.400000	0.01647244	
15.420000	0.00417967	
15.440000	-0.00615801	
15.460000	-0.01415840	
15.480000	-0.01745752	
15.500000	-0.01571940	
15.520000	-0.01254500	
15.540000	-0.00753489	
15.559999	-0.00368573	
15.580000	0.00289771	
15.599999	0.00879587	
15.620000	0.01508795	
15.639999	0.01808049	
15.660000	0.01890424	
15.679999	0.01708271	
15.700000	0.01185787	
15.719999	0.00487520	
15.740000	-0.00518221	
15.759999	-0.01183632	
15.780000	-0.01634692	
15.799999	-0.01689102	
15.820000	-0.01422662	
15.839999	-0.00988944	
15.860000	-0.00232384	
15.880000	0.00389878	
15.900000	0.01167171	
15.920000	0.01614922	
15.940000	0.01897554	
15.960000	0.01903595	
15.980000	0.01476124	
16.000000	0.00752933	
16.020000	-0.00374100	
16.039999	-0.01067600	
16.059999	-0.01533845	
16.080000	-0.01580529	
16.100000	-0.01306260	
16.119999	-0.00934473	
16.139999	-0.00165810	
16.160000	0.00484726	
16.180000	0.01259142	
16.199999	0.01639149	
16.219999	0.01632266	
16.240000	0.01274142	
16.260000	0.00418049	
16.279999	-0.00512961	
16.299999	-0.01391676	
16.320000	-0.01775339	
16.340000	-0.01720457	
16.359999	-0.01430285	
16.379999	-0.00856721	
16.400000	-0.00238301	
16.420000	0.00660202	
16.440001	0.01590861	
16.459999	0.02645341	
16.480000	0.03337629	
16.500000	0.03736600	
16.520000	0.03787681	
