Time	Paced_left_y_velocity X
13.559999	0.32901761	
13.580000	0.25400639	
13.599999	0.14651431	
13.620000	0.02043545	
13.639999	-0.13841502	
13.660000	-0.28964698	
13.679999	-0.39209864	
13.700000	-0.42093790	
13.719999	-0.37875000	
13.740000	-0.27756855	
13.759999	-0.15133037	
13.780000	-0.05516575	
13.799999	0.00061014	
13.820000	0.02320097	
13.840000	0.05639827	
13.860000	0.10712502	
13.880000	0.17354748	
13.900000	0.23622553	
13.920000	0.29307219	
13.940000	0.33810902	
13.960000	0.36545381	
13.980000	0.36585316	
14.000000	0.32947358	
14.020000	0.26318258	
14.040000	0.15495910	
14.059999	0.02952335	
14.080000	-0.10850506	
14.099999	-0.24657506	
14.120000	-0.38334116	
14.139999	-0.47699478	
14.160000	-0.49596086	
14.179999	-0.43534881	
14.200000	-0.32204670	
14.219999	-0.19022305	
14.240000	-0.07207869	
14.259999	-0.00915092	
14.280000	0.01419850	
14.299999	0.02387035	
14.320000	0.05423418	
14.340000	0.10001897	
14.360000	0.16122225	
14.380000	0.22737139	
14.400000	0.29498291	
14.420000	0.35353947	
14.440000	0.39553764	
14.460000	0.40742528	
14.480000	0.37929401	
14.500000	0.32176295	
14.520000	0.23178580	
14.540000	0.12435529	
14.559999	0.00188481	
14.580000	-0.12221891	
14.599999	-0.26183304	
14.620000	-0.40978041	
14.639999	-0.52524376	
14.660000	-0.55850780	
14.679999	-0.50297612	
14.700000	-0.38354194	
14.719999	-0.23131275	
14.740000	-0.09846950	
14.759999	-0.01511623	
14.780000	0.01435298	
14.799999	0.02517022	
14.820000	0.04716253	
14.839999	0.09400263	
14.860000	0.15304641	
14.880000	0.21318735	
14.900000	0.26460013	
14.920000	0.30682236	
14.940000	0.31799576	
14.960000	0.30019471	
14.980000	0.26533705	
15.000000	0.21868384	
15.020000	0.16382429	
15.040000	0.10984641	
15.059999	0.07124391	
15.080000	0.02895655	
15.099999	-0.02072887	
15.120000	-0.10362822	
15.139999	-0.23574162	
15.160000	-0.38800299	
15.179999	-0.48752287	
15.200000	-0.49064597	
15.219999	-0.40869537	
15.240000	-0.27032012	
15.259999	-0.12263080	
15.280000	-0.01847576	
15.299999	0.01553185	
15.320000	0.01153536	
15.339999	0.00955586	
15.360000	0.02285651	
15.380000	0.04473954	
15.400000	0.06986742	
15.420000	0.10304186	
15.440000	0.15228322	
15.460000	0.19987348	
15.480000	0.24047199	
15.500000	0.27142498	
15.520000	0.28822273	
15.540000	0.28024474	
15.559999	0.24254486	
15.580000	0.19084127	
15.599999	0.11718827	
15.620000	0.03780709	
15.639999	-0.04610430	
15.660000	-0.12921767	
15.679999	-0.24547108	
15.700000	-0.35965776	
15.719999	-0.42624322	
15.740000	-0.41886130	
15.759999	-0.34931922	
15.780000	-0.23671031	
15.799999	-0.10437328	
15.820000	-0.01420353	
15.839999	0.02449235	
15.860000	0.02891308	
15.880000	0.05549457	
15.900000	0.09198446	
15.920000	0.13516676	
15.940000	0.17092507	
15.960000	0.20838247	
15.980000	0.23488460	
16.000000	0.23789714	
16.020000	0.22018506	
16.039999	0.17769974	
16.059999	0.10266685	
16.080000	-0.01679478	
16.100000	-0.15157753	
16.119999	-0.27082646	
16.139999	-0.33568603	
16.160000	-0.33208832	
16.180000	-0.26493868	
16.199999	-0.16849270	
16.219999	-0.07661889	
16.240000	-0.01284386	
16.260000	0.01295575	
16.279999	0.01955367	
16.299999	0.03546786	
16.320000	0.07431684	
16.340000	0.12607054	
16.359999	0.18093617	
16.379999	0.22780149	
16.400000	0.27143374	
16.420000	0.29409781	
16.440001	0.28892466	
16.459999	0.26087806	
16.480000	0.21093996	
16.500000	0.13877749	
16.520000	0.03146876	
16.539999	-0.09300904	
16.559999	-0.23597904	
16.580000	-0.35506666	
16.600000	-0.41960213	
16.619999	-0.40367651	
16.639999	-0.32634938	
16.660000	-0.21307951	
16.680000	-0.09764199	
16.699999	-0.02285676	
16.719999	0.00750596	
16.740000	0.00810809	
16.760000	0.01249574	
16.779999	0.01632806	
16.799999	0.03106922	
16.820000	0.05817194	
16.840000	0.10010714	
16.859999	0.14363056	
16.879999	0.19094725	
16.900000	0.22771648	
16.920000	0.24827747	
16.940001	0.24313532	
16.959999	0.21965893	
16.980000	0.18687253	
17.000000	0.13841771	
17.020000	0.08397782	
17.039999	0.01349759	
17.059999	-0.06443874	
17.080000	-0.16452651	
17.100000	-0.26565495	
17.119999	-0.34123626	
17.139999	-0.35766062	
17.160000	-0.31374195	
17.180000	-0.22943880	
17.199999	-0.12825188	
17.219999	-0.04690499	
17.240000	0.00508694	
17.260000	0.04975309	
17.279999	0.13752984	
17.299999	0.27398071	
17.320000	0.43002257	
17.340000	0.55514663	
17.359999	0.60502130	
17.379999	0.55910999	
17.400000	0.42957407	
17.420000	0.26141530	
17.440001	0.09109871	
17.459999	-0.04788871	
17.480000	-0.15172555	
17.500000	-0.20970483	
17.520000	-0.23655646	
17.539999	-0.24069141	
17.559999	-0.24665324	
17.580000	-0.27615064	
17.600000	-0.33617330	
17.619999	-0.39692965	
17.639999	-0.40698406	
17.660000	-0.35993257	
17.680000	-0.26868808	
17.699999	-0.16145191	
17.719999	-0.05859407	
17.740000	0.00151452	
