Time	Right_Forefoot_y_baseline X
16.400000	-0.00746623	
16.420000	-0.00493507	
16.440001	-0.00279561	
16.459999	0.00215572	
16.480000	0.00500037	
16.500000	0.00740530	
16.520000	0.00379874	
16.539999	-0.00090013	
16.559999	-0.00533541	
16.580000	-0.00654984	
16.600000	-0.00672598	
16.619999	-0.00622539	
16.639999	-0.00567821	
16.660000	-0.00409295	
16.680000	-0.00276797	
16.699999	0.00031924	
16.719999	0.00360899	
16.740000	0.00830373	
16.760000	0.01123604	
16.779999	0.01179108	
16.799999	0.00997110	
16.820000	0.00434305	
16.840000	-0.00050309	
16.859999	-0.00586075	
16.879999	-0.00741032	
16.900000	-0.00865197	
16.920000	-0.00865197	
16.940001	-0.00841169	
16.959999	-0.00817139	
16.980000	-0.00650075	
17.000000	-0.00488330	
17.020000	0.00057170	
17.039999	0.00660524	
17.059999	0.01448144	
17.080000	0.01868118	
17.100000	0.01999770	
17.119999	0.01688245	
17.139999	0.00822887	
17.160000	0.00057004	
17.180000	-0.00551176	
17.199999	-0.00628212	
17.219999	-0.00705804	
17.240000	-0.00700937	
17.260000	-0.00623943	
17.279999	-0.00545298	
17.299999	-0.00250809	
17.320000	0.00041535	
17.340000	0.00583033	
17.359999	0.00928983	
17.379999	0.01257402	
17.400000	0.01326723	
17.420000	0.01059727	
17.440001	0.00438924	
17.459999	-0.00223459	
17.480000	-0.00577474	
17.500000	-0.00634667	
17.520000	-0.00653374	
17.539999	-0.00622560	
17.559999	-0.00580773	
17.580000	-0.00401993	
17.600000	-0.00227110	
17.619999	0.00237022	
17.639999	0.00637527	
17.660000	0.01216027	
17.680000	0.01505277	
17.699999	0.01635753	
17.719999	0.01316823	
17.740000	0.00526789	
17.760000	-0.00184189	
17.779999	-0.00679301	
17.799999	-0.00710672	
17.820000	-0.00734989	
17.840000	-0.00741610	
17.859999	-0.00697348	
17.879999	-0.00618641	
17.900000	-0.00324544	
17.920000	-0.00013596	
17.940001	0.00515053	
17.959999	0.00856218	
17.980000	0.01142311	
18.000000	0.01162793	
18.020000	0.00769694	
18.039999	0.00211860	
18.059999	-0.00433384	
18.080000	-0.00692996	
18.100000	-0.00793090	
18.119999	-0.00793090	
18.139999	-0.00778797	
18.160000	-0.00764504	
18.180000	-0.00672701	
18.199999	-0.00583187	
18.219999	-0.00167318	
18.240000	0.00341655	
18.260000	0.01015714	
18.279999	0.01378535	
18.299999	0.01547992	
18.320000	0.01499563	
18.340000	0.00873460	
18.359999	0.00215407	
18.379999	-0.00422309	
18.400000	-0.00501098	
18.420000	-0.00521454	
18.440001	-0.00521454	
18.459999	-0.00461517	
18.480000	-0.00401105	
18.500000	-0.00266525	
18.520000	-0.00188169	
18.539999	0.00114034	
18.559999	0.00408337	
18.580000	0.00767879	
18.600000	0.00898808	
18.619999	0.00570989	
18.639999	0.00081198	
18.660000	-0.00467086	
18.680000	-0.00625366	
18.699999	-0.00686973	
18.719999	-0.00689530	
18.740000	-0.00662450	
18.760000	-0.00627325	
18.779999	-0.00417110	
18.799999	-0.00206341	
18.820000	0.00292711	
18.840000	0.00670156	
18.859999	0.01198825	
18.879999	0.01431108	
18.900000	0.01394849	
18.920000	0.01179726	
18.939999	0.00526768	
18.959999	0.00071731	
18.980000	-0.00422391	
19.000000	-0.00478595	
19.020000	-0.00539894	
19.039999	-0.00562045	
19.059999	-0.00528653	
19.080000	-0.00454134	
19.100000	-0.00275455	
19.119999	-0.00146444	
19.139999	0.00265610	
19.160000	0.00596605	
19.180000	0.01074125	
19.199999	0.01249585	
19.219999	0.01140104	
19.240000	0.00525221	
19.260000	-0.00093293	
19.279999	-0.00447574	
19.299999	-0.00514318	
19.320000	-0.00568192	
19.340000	-0.00633657	
19.359999	-0.00633657	
19.379999	-0.00469644	
19.400000	-0.00282365	
19.420000	0.00144044	
19.439999	0.00488074	
19.459999	0.01028624	
19.480000	0.01330085	
19.500000	0.01420672	
19.520000	0.01050982	
19.539999	0.00364839	
19.559999	-0.00188994	
19.580000	-0.00547133	
19.600000	-0.00579578	
19.619999	-0.00599006	
19.639999	-0.00564356	
19.660000	-0.00431137	
19.680000	-0.00300185	
19.699999	0.00015609	
19.719999	0.00408976	
19.740000	0.00986899	
19.760000	0.01379998	
19.779999	0.01417062	
19.799999	0.01185729	
19.820000	0.00442204	
19.840000	-0.00130749	
