Time	Left_Heel_y_baseline X
14.639999	-0.00745563	
14.660000	-0.00507413	
14.679999	-0.00407395	
14.700000	-0.00467025	
14.719999	-0.00613448	
14.740000	-0.00874977	
14.759999	-0.01002385	
14.780000	-0.01105043	
14.799999	-0.01105043	
14.820000	-0.01116751	
14.839999	-0.01108237	
14.860000	-0.01108237	
14.880000	-0.01108237	
14.900000	-0.01202379	
14.920000	-0.01275600	
14.940000	-0.01374984	
14.960000	-0.01401146	
14.980000	-0.01453447	
15.000000	-0.01479587	
15.020000	-0.01534775	
15.040000	-0.01563843	
15.059999	-0.01592891	
15.080000	-0.01592891	
15.099999	-0.01616144	
15.120000	-0.01639399	
15.139999	-0.01662654	
15.160000	-0.01662654	
15.179999	-0.01662654	
15.200000	-0.01662654	
15.219999	-0.01662654	
15.240000	-0.01662654	
15.259999	-0.01650453	
15.280000	-0.01638253	
15.299999	-0.01589595	
15.320000	-0.01556453	
15.339999	-0.01474512	
15.360000	-0.01429026	
15.380000	-0.01273145	
15.400000	-0.01167375	
15.420000	-0.00973296	
15.440000	-0.00871170	
15.460000	-0.00683436	
15.480000	-0.00584626	
15.500000	-0.00488047	
15.520000	-0.00475684	
15.540000	-0.00625280	
15.559999	-0.00797722	
15.580000	-0.01268293	
15.599999	-0.01586279	
15.620000	-0.01906987	
15.639999	-0.01933004	
15.660000	-0.01945655	
15.679999	-0.01949094	
15.700000	-0.01945655	
15.719999	-0.01949094	
15.740000	-0.01936628	
15.759999	-0.01927601	
15.780000	-0.01851881	
15.799999	-0.01788647	
15.820000	-0.01626033	
15.839999	-0.01490048	
15.860000	-0.01218060	
15.880000	-0.01045494	
15.900000	-0.00664747	
15.920000	-0.00416176	
15.940000	0.00063647	
15.960000	0.00314797	
15.980000	0.00620665	
16.000000	0.00695218	
16.020000	0.00672619	
16.039999	0.00541896	
16.059999	0.00201352	
16.080000	-0.00146459	
16.100000	-0.00591013	
16.119999	-0.00844988	
16.139999	-0.01043713	
16.160000	-0.01096036	
16.180000	-0.01181458	
16.199999	-0.01231140	
