Time	Knöchel li X	Knöchel li Y	Knöchel li Weg	Knöchel li v(X)	Knöchel li v(Y)	Knöchel li v(Bahn)	Knöchel li a(X)	Knöchel li a(Y)	Knöchel li a(Bahn)
2.020000	-0.48173225	-0.53239036	0.70792836	0.24630754	0.00625426	0.24638693	-0.19874434	0.11739047	-0.19522586	
2.040000	-0.47724178	-0.53216910	0.71242428	0.24180180	0.00801036	0.24193445	-0.22026411	0.10494176	-0.21591711	
2.060000	-0.47170886	-0.53216910	0.71795720	0.23709103	0.01106113	0.23734891	-0.20119521	0.11291263	-0.19552042	
2.080000	-0.46748105	-0.53186452	0.72219598	0.23280634	0.01427481	0.23324357	-0.15167817	0.14827102	-0.14240406	
2.100000	-0.46259531	-0.53149885	0.72709537	0.22958334	0.01546988	0.23010394	-0.11244660	0.19176036	-0.09647374	
2.120000	-0.45870271	-0.53102481	0.73101670	0.22885467	0.01937920	0.22967371	-0.07563709	0.23662485	-0.05030251	
2.140000	-0.45367298	-0.53072065	0.73605561	0.22875918	0.02486556	0.23010662	-0.04397561	0.31278741	-0.00220705	
2.160000	-0.44929111	-0.53045398	0.74044561	0.22752748	0.03273337	0.22987002	-0.04916319	0.38626149	0.01213637	
2.180000	-0.44410601	-0.52964735	0.74569309	0.22695230	0.04072933	0.23057802	-0.11183535	0.43902323	-0.02565644	
2.200000	-0.44024318	-0.52867359	0.74967676	0.22546615	0.05155203	0.23128466	-0.21047993	0.51238787	-0.08181417	
2.220000	-0.43554011	-0.52728266	0.75458121	0.22139044	0.06011871	0.22940791	-0.35867757	0.65536320	-0.13351099	
2.240000	-0.43147761	-0.52624780	0.75877345	0.21253952	0.07264859	0.22461270	-0.55515873	0.85409182	-0.15753551	
2.260000	-0.42648050	-0.52464986	0.76401985	0.20005968	0.08948094	0.21915911	-0.77714896	1.08558393	-0.10985895	
2.280000	-0.42278537	-0.52331316	0.76794934	0.18118116	0.11683847	0.21558720	-0.98568809	1.32795668	0.03841189	
2.300000	-0.41918892	-0.52031857	0.77262932	0.15942746	0.14732970	0.21707869	-1.15622532	1.52329087	0.27533758	
2.320000	-0.41677335	-0.51744217	0.77638549	0.13238050	0.18166843	0.22478437	-1.28961992	1.61403441	0.53643936	
